record_id,subscriber_msisdn,recipient_number,event_timestamp,transaction_type,amount_paid,service_status,location_cell,session_duration_sec,network_layer,user_agent_device,notes_field
REC-101123,0714022605,+255(0)714016303,"Nov 06, 2023 14:02",TIGO_PESA_CASH_IN,FREE,ACTV,Tanga,30s,2G GSM,Nokia 105 (Feature Phone),None
REC-100898,0714-010-138,255714028085,12/01/2023 08:27 AM,SMS_PACK,"TZS 37,681.21/=",ACTIVE,ZNZ,0,2G GSM,Transsion Infinix Hot 30,None
REC-100145,255714004795,0714024934,03-12-2023 22:34:00,BUNDLE_PURCHASE,NaN,Term,ARUSHA,02:15,2G GSM,Nokia 105 (Feature Phone),None
REC-100866,255714011782,+255(0)714020002,11/16/2023 04:05 PM,SMS_PACK,  121634  ,actve,mwanza,30s,unknown,Tecno Spark 10 Pro,None
REC-101986,+255 714 025 071,+255/714/029181,2023-11-22 10:49:37,VOICE_CALL,NaN,CHURNED,DAR ES SALAAM,-15,4G LTE,Samsung Galaxy A14; Android 13,"USSD session timeout, retry OK"
REC-101451,0000000000,255714007672,"Nov 12, 2023 23:15",BUNDLE_PURCHASE,"-54,196.54",CHURNED,,30s,4G,Samsung Galaxy A14; Android 13,"USSD session timeout, retry OK"
REC-101604,  714032880  ,0714-017-947,1701679799,SMS_PACK,"68,944.27",SUSPENDED,Mbeya,30s,unknown,Unknown,"Customer stated: ""Cannot connect to 4G in Posta area, please help"""
REC-102433,  714021098  ,tel:+255-714-025345,UNKNOWN_TIME,TIGO_PESA_CASH_OUT,"97,561.23",actve,Dodoma ,N/A,2G GSM,Huawei P40 Lite,None
REC-100714,+255 714 013 152,N/A,2023-11-19 09:22:42,BUNDLE_PURCHASE,$ 49.32 USD,UNKNOWN,Dodoma,360,2G GSM,Tecno Spark 10 Pro,Standard call; cell handover success
REC-101646,0714-011-371,0714-007-946,11/26/2023 07:24 AM,VOICE_CALL,"TZS 75,873.37/=",,ZNZ,02:15,5G NR,Tecno Spark 10 Pro,"Customer stated: ""Cannot connect to 4G in Posta area, please help"""
REC-102302,tel:+255-714-032195,0714-002-877,11/10/2023 03:11 AM,TIGO_PESA_CASH_OUT,  131144  ,Terminated,mwanza,N/A,4G LTE,Huawei P40 Lite,"USSD session timeout, retry OK"
REC-101880,N/A,N/A,11/23/2023 03:57 AM,TIGO_PESA_CASH_OUT,"106,498.34",actve,Dodoma,30s,2G GSM,Tecno Spark 10 Pro,
REC-101668,0714-009-453,+255 714 028 359,1700687140,BUNDLE_PURCHASE,"TZS 23,277.88/=",  active  ,Mwanza Rock City,02:15,unknown,Tecno Spark 10 Pro,Standard call; cell handover success
REC-101324,+255(0)714022194,0714-014-796,2023-11-19 05:32:54,TIGO_PESA_CASH_IN,$ 51.10 USD,churn,DODOMA (Capital),N/A,4G,Transsion Infinix Hot 30,None
REC-101428,+255 714 002 603,tel:+255-714-015755,UNKNOWN_TIME,SMS_PACK,"109,845.99",ACTV,  Dar es Salaam  ,1800,5G NR,Nokia 105 (Feature Phone),"USSD session timeout, retry OK"
REC-100260,0714027400,+255/714/013837,11/30/2023 10:10 PM,TIGO_PESA_CASH_OUT,FREE,CHURNED,ARUSHA,N/A,4G LTE,Tecno Spark 10 Pro,"Customer stated: ""Cannot connect to 4G in Posta area, please help"""
REC-100451,N/A,tel:+255-714-021098,25-11-2023 02:21:47,BUNDLE_PURCHASE,"123,100.68",suspnded,ARUSHA,02:15,2G GSM,Samsung Galaxy A14; Android 13,Standard call; cell handover success
REC-101995,N/A,tel:+255-714-016303,"Nov 05, 2023 02:57",VOICE_CALL,$ 40.94 USD,TERMINATED,Dodoma ,02:15,2G GSM,Transsion Infinix Hot 30,Standard call; cell handover success
REC-102429,+255/714/019591,0714007809,2023-11-04 20:40:21,TIGO_PESA_CASH_OUT,$ 11.08 USD,suspnded,Mwanza,30s,unknown,Unknown,None
REC-100029,255714024523,+255 714 003 699,11-11-2023 10:20:02,TIGO_PESA_CASH_OUT,FREE,suspnded,Arusha﻿,-15,LTE-A,"iPhone 13,2 (iOS 16.5)","Customer stated: ""Cannot connect to 4G in Posta area, please help"""
REC-101337,N/A,N/A,10-11-2023 20:27:42,DATA_RECHARGE,  4698  ,actve,Arusha,30s,3G WCDMA,Nokia 105 (Feature Phone),None
REC-101097,N/A,0000000000,1701500295,DATA_RECHARGE,  106362  ,suspnded,"Stone Town, Zanzibar",N/A,4G LTE,Tecno Spark 10 Pro,Standard call; cell handover success
REC-101534,  714018769  ,255714027811,2023-11-12 08:57:02,BUNDLE_PURCHASE,"91,620.54",churn,Mwanza Rock City,45,3G WCDMA,Unknown,"USSD session timeout, retry OK"
REC-102368,+255(0)714008631,N/A,2023-12-04 04:20:58,BUNDLE_PURCHASE,  49744  ,,DAR ES SALAAM,N/A,unknown,Huawei P40 Lite,
REC-100368,+255/714/022879,255714032606,2023-11-18 07:18:37,TIGO_PESA_CASH_OUT,"TZS 94,158.86/=",SUSPENDED,Dar es Salaam,-15,LTE-A,Tecno Spark 10 Pro,None
REC-101535,  714025482  ,  714030551  ,2023-11-10 23:44:01,BUNDLE_PURCHASE,  149105  ,suspnded,Dar es Salaam,45,4G LTE,"iPhone 13,2 (iOS 16.5)","USSD session timeout, retry OK"
REC-101617,N/A,+255(0)714013700,"Nov 29, 2023 04:09",DATA_RECHARGE,"TZS 70,994.75/=",ACTIVE,ARUSHA,1800,2G GSM,Transsion Infinix Hot 30,None
REC-101472,+255 714 002 466,0714-023-975,24-11-2023 16:33:36,SMS_PACK,  132577  ,  active  ,"Stone Town, Zanzibar",360,3G WCDMA,Unknown,Standard call; cell handover success
REC-100937,+255/714/023427,tel:+255-714-013152,1699501918,TIGO_PESA_CASH_OUT,"-19,711.11",Term,mwanza,02:15,2G GSM,Transsion Infinix Hot 30,Standard call; cell handover success
REC-102154,0714-025-756,0714-004-384,10-11-2023 10:28:30,DATA_RECHARGE,"TZS 91,704.00/=",Term,ARUSHA,-15,5G NR,Nokia 105 (Feature Phone),Standard call; cell handover success
REC-100775,N/A,255714032058,11/24/2023 12:01 AM,TIGO_PESA_CASH_IN,"10,138.49",Pending_Kyc​,Arusha (CBD),N/A,4G LTE,Tecno Spark 10 Pro,"Customer stated: ""Cannot connect to 4G in Posta area, please help"""
REC-101567,+255(0)714006165,+255/714/029592,2023-11-28T20:37:49+03:00,BUNDLE_PURCHASE,  133997  ,Suspended,Arusha (CBD),N/A,3G WCDMA,Nokia 105 (Feature Phone),"VIP Subscriber, priority routing"
REC-101454,tel:+255-714-010686,0000000000,2023-11-05T12:07:10+03:00,VOICE_CALL,$ 23.68 USD,SUSPENDED,Mwanza Rock City,30s,4G LTE,"iPhone 13,2 (iOS 16.5)",Flagged for KYC update; verified by agent
REC-101922,N/A,255714016577,14-11-2023 11:12:09,SMS_PACK,"-41,407.98",,Mbeya,360,4G LTE,Nokia 105 (Feature Phone),"VIP Subscriber, priority routing"
REC-101502,0714-018-632,255714030140,2023-11-25 23:54:26,TIGO_PESA_CASH_IN,"TZS 20,088.11/=",Suspended,Arusha,45,4G,Nokia 105 (Feature Phone),Standard call; cell handover success
REC-101654,tel:+255-714-028222,+255 714 029 729,2023-11-16 02:52:46,TIGO_PESA_CASH_IN,"TZS 62,224.51/=",Term,DODOMA (Capital),360,5G NR,Huawei P40 Lite,
REC-101707,0714-006-850,+255/714/007261,2023-11-18 02:03:11,TIGO_PESA_CASH_OUT,FREE,pending,ARUSHA,360,unknown,Transsion Infinix Hot 30,"Customer stated: ""Cannot connect to 4G in Posta area, please help"""
REC-102316,+255(0)714007535,255714033702,11/12/2023 12:32 AM,TIGO_PESA_CASH_IN,  76232  ,ACTV,Arusha (CBD),1800,unknown,Tecno Spark 10 Pro,None
REC-101096,0714-012-878,N/A,"Nov 19, 2023 16:21",SMS_PACK,,TERMINATED,Mbeya,30s,2G GSM,Unknown,"USSD session timeout, retry OK"
REC-101276,+255/714/028222,tel:+255-714-013152,1701636128,BUNDLE_PURCHASE,  112030  ,pending,dar-es-salaam,1800,5G NR,"iPhone 13,2 (iOS 16.5)",Standard call; cell handover success
REC-100010,0714-030-688,0714025208,2023-11-09 16:11:59,SMS_PACK,  45118  ,Suspended,Arusha,30s,unknown,"iPhone 13,2 (iOS 16.5)",Standard call; cell handover success
REC-101807,+255/714/025619,+255 714 018 495,"Nov 17, 2023 10:06",VOICE_CALL,$ 37.51 USD,ACTIVE,Arusha (CBD),-15,2G GSM,Samsung Galaxy A14; Android 13,Flagged for KYC update; verified by agent
REC-101049,255714023153,+255(0)714022879,30-11-2023 07:57:38,BUNDLE_PURCHASE,$ 23.77 USD,Suspended,mwanza,30s,4G,Transsion Infinix Hot 30,None
REC-100561,N/A,0714026578,11/12/2023 12:26 PM,TIGO_PESA_CASH_IN,$ 44.26 USD,ACTV,Mbeya,N/A,4G LTE,"iPhone 13,2 (iOS 16.5)",Flagged for KYC update; verified by agent
REC-100118,  714022742  ,+255 714 011 645,11/27/2023 10:40 AM,SMS_PACK,"124,751.0200",ACTIVE,dar-es-salaam,-15,5G NR,"iPhone 13,2 (iOS 16.5)",None
REC-100707,+255 714 024 249,0714006302,11/06/2023 09:49 AM,DATA_RECHARGE,  86475  ,  active  ,Mbeya,360,unknown,Unknown,"VIP Subscriber, priority routing"
REC-101848,+255 714 011 645,+255(0)714025619,05-11-2023 23:38:13,BUNDLE_PURCHASE,"116,640.43",  active  ,Arusha (CBD),360,LTE-A,Huawei P40 Lite,"VIP Subscriber, priority routing"
REC-102398,+255(0)714025619,0714015481,2023-11-18 18:22:24,TIGO_PESA_CASH_OUT,"TZS 12,944.01/=",  active  ,dar-es-salaam,-15,unknown,Huawei P40 Lite,"VIP Subscriber, priority routing"
REC-100413,tel:+255-714-021509,+255/714/017125,2023-11-25T06:21:38+03:00,TIGO_PESA_CASH_OUT,  116544  ,churn,Mwanza Rock City,02:15,2G GSM,Nokia 105 (Feature Phone),Standard call; cell handover success
REC-100751,tel:+255-714-023975,N/A,09-11-2023 20:32:22,DATA_RECHARGE,NaN,CHURNED,dar-es-salaam,30s,4G LTE,Tecno Spark 10 Pro,"VIP Subscriber, priority routing"
REC-101410,0714033565,0714-017-536,23-11-2023 05:56:26,BUNDLE_PURCHASE,"85,400.83",,ZNZ,1800,unknown,"iPhone 13,2 (iOS 16.5)",None
REC-101242,+255 714 008 357,+255/714/031784,08-11-2023 02:38:23,DATA_RECHARGE,"TZS 81,080.93/=",UNKNOWN,Mbeya,0,5G NR,Tecno Spark 10 Pro,"USSD session timeout, retry OK"
REC-101064,+255(0)714021920,+255 714 001 233,"Nov 27, 2023 15:18",BUNDLE_PURCHASE,"96,896.13",churn,Zanzibar,120,LTE-A,Transsion Infinix Hot 30,Standard call; cell handover success
REC-101372,  714006028  ,0714-002-055,2023-11-27 12:49:50,TIGO_PESA_CASH_IN,"TZS 71,254.65/=",SUSPENDED,Arusha (CBD),02:15,2G GSM,Samsung Galaxy A14; Android 13,"USSD session timeout, retry OK"
REC-101543,+255(0)714028085,tel:+255-714-033428,11/30/2023 10:07 AM,TIGO_PESA_CASH_IN,NaN,ACTV,Arusha﻿,N/A,4G,Nokia 105 (Feature Phone),Flagged for KYC update; verified by agent
REC-102304,0714-006-850,  714003562  ,1700734627,TIGO_PESA_CASH_IN,"TZS 47,548.02/=",ACTV,Zanzibar,30s,LTE-A,Transsion Infinix Hot 30,Standard call; cell handover success
REC-100003,  714007535  ,+255 714 033 565,07-11-2023 08:29:38,TIGO_PESA_CASH_IN,"90,757.0400",null,  Dar es Salaam  ,02:15,4G LTE,Huawei P40 Lite,"USSD session timeout, retry OK"
REC-101472,+255 714 002 466,0714-023-975,24-11-2023 16:33:36,SMS_PACK,  132577  ,  active  ,"Stone Town, Zanzibar",360,3G WCDMA,Unknown,Standard call; cell handover success
REC-102216,+255 714 009 590,+255/714/017947,2023/11/04,DATA_RECHARGE,"116,019.04",suspnded,ZNZ,360,4G,Nokia 105 (Feature Phone),None
REC-100006,0714-024-112,255714019454,1699334620,DATA_RECHARGE,"123,359.4900",  active  ,Arusha (CBD),30s,4G,Nokia 105 (Feature Phone),"Customer stated: ""Cannot connect to 4G in Posta area, please help"""
REC-100039,0714030140,  714016577  ,1700263128,BUNDLE_PURCHASE,"TZS 72,947.25/=",pending,dar-es-salaam,360,4G,Tecno Spark 10 Pro,"USSD session timeout, retry OK"
REC-101031,tel:+255-714-032058,+255/714/030688,2023-11-21 00:32:31,BUNDLE_PURCHASE,"TZS 53,393.05/=",churn,  Dar es Salaam  ,360,2G GSM,Huawei P40 Lite,"VIP Subscriber, priority routing"
REC-100198,0000000000,tel:+255-714-019728,11/20/2023 02:33 PM,TIGO_PESA_CASH_OUT,"TZS 16,338.71/=",suspnded,ZNZ,1800,2G GSM,Huawei P40 Lite,
REC-100224,+255/714/013563,0714030140,12-11-2023 21:30:51,TIGO_PESA_CASH_OUT,"-143,190.72",  active  ,Dar es Salaam,360,4G,Samsung Galaxy A14; Android 13,"VIP Subscriber, priority routing"
REC-101816,+255 714 002 055,0714-013-015,2023-11-16 10:00:41,BUNDLE_PURCHASE,"49,296.39",TERMINATED,DAR ES SALAAM,02:15,5G NR,Nokia 105 (Feature Phone),
REC-100300,+255/714/019180,  714000000  ,22-11-2023 03:23:56,BUNDLE_PURCHASE,  84569  ,pending,Mwanza Rock City,30s,unknown,Samsung Galaxy A14; Android 13,None
REC-100288,255714014522,+255(0)714015481,11-11-2023 22:37:41,DATA_RECHARGE,  104431  ,Terminated,Dodoma ,0,LTE-A,Huawei P40 Lite,"USSD session timeout, retry OK"
REC-101960,0000000000,+255 714 001 096,2023-11-12 03:00:50,BUNDLE_PURCHASE,$ 2.90 USD,CHURNED,Dar es Salaam,45,4G,Samsung Galaxy A14; Android 13,"Customer stated: ""Cannot connect to 4G in Posta area, please help"""
REC-102484,0714-010-549,tel:+255-714-019591,2023-11-12T22:37:57+03:00,SMS_PACK,  105989  ,suspnded,Mwanza Rock City,30s,unknown,"iPhone 13,2 (iOS 16.5)",None
REC-101351,0714-005-617,0714016714,2023-12-03 14:11:08,BUNDLE_PURCHASE,  9697  ,  active  ,Dodoma ,02:15,unknown,Huawei P40 Lite,"VIP Subscriber, priority routing"
REC-101166,+255/714/004521,+255/714/008357,11/25/2023 09:45 AM,TIGO_PESA_CASH_OUT,"TZS 37,245.44/=",actve,Arusha﻿,45,LTE-A,Huawei P40 Lite,None
REC-101238,255714002466,0714005343,"Nov 12, 2023 13:50",TIGO_PESA_CASH_IN,  107198  ,UNKNOWN,Morogoro,30s,3G WCDMA,"iPhone 13,2 (iOS 16.5)",None
REC-100178,+255(0)714008494,N/A,11/28/2023 05:30 AM,SMS_PACK,$ 38.57 USD,SUSPENDED,Dodoma,45,4G,Nokia 105 (Feature Phone),Standard call; cell handover success
REC-102002,0000000000,+255 714 015 618,"Nov 25, 2023 05:56",VOICE_CALL,$ 40.74 USD,Pending_Kyc​,  Dar es Salaam  ,02:15,5G NR,Nokia 105 (Feature Phone),Standard call; cell handover success
REC-100565,+255 714 023 838,255714023838,2023/11/04,TIGO_PESA_CASH_IN,"TZS 23,489.43/=",Pending_Kyc​,Zanzibar,360,2G GSM,Nokia 105 (Feature Phone),"VIP Subscriber, priority routing"
REC-101185,0714005206,+255/714/018906,2023/11/04,VOICE_CALL,TZS 812.05/=,ACTV,mwanza,30s,LTE-A,Nokia 105 (Feature Phone),None
REC-102387,+255(0)714005754,+255 714 031 236,11/11/2023 07:49 PM,DATA_RECHARGE,$ 41.64 USD,ACTIVE,dar-es-salaam,45,3G WCDMA,Huawei P40 Lite,Standard call; cell handover success
REC-101257,0714-006-439,+255/714/010275,1699454866,TIGO_PESA_CASH_OUT,"56,902.03",TERMINATED,mwanza,1800,2G GSM,Unknown,Standard call; cell handover success
REC-101859,+255/714/027263,+255/714/005069,1701461923,TIGO_PESA_CASH_IN,$ 24.98 USD,ACTIVE,Dodoma ,45,4G,"iPhone 13,2 (iOS 16.5)","Customer stated: ""Cannot connect to 4G in Posta area, please help"""
REC-100505,255714029866,255714014933,11/21/2023 01:34 PM,TIGO_PESA_CASH_IN,FREE,  active  ,Arusha (CBD),N/A,LTE-A,Transsion Infinix Hot 30,None
REC-102410,tel:+255-714-022742,+255/714/009590,2023-11-06 10:41:22,DATA_RECHARGE,FREE,TERMINATED,Arusha,30s,2G GSM,Transsion Infinix Hot 30,
REC-101775,255714001233,0714013289,1701318533,TIGO_PESA_CASH_OUT,"TZS 42,913.72/=",CHURNED,Morogoro,360,2G GSM,Unknown,"Customer stated: ""Cannot connect to 4G in Posta area, please help"""
REC-102071,0714004932,+255(0)714029592,11/11/2023 12:53 AM,SMS_PACK,FREE,pending,Mbeya,120,4G LTE,Tecno Spark 10 Pro,"USSD session timeout, retry OK"
REC-100979,0714-017-262,  714005617  ,"Nov 09, 2023 02:24",TIGO_PESA_CASH_OUT,  51694  ,SUSPENDED,Arusha (CBD),0,unknown,"iPhone 13,2 (iOS 16.5)",Flagged for KYC update; verified by agent
REC-101290,N/A,N/A,11/12/2023 07:44 PM,DATA_RECHARGE,,actve,Zanzibar,1800,4G LTE,Transsion Infinix Hot 30,"VIP Subscriber, priority routing"
REC-100480,0714-019-454,0000000000,UNKNOWN_TIME,BUNDLE_PURCHASE,$ 30.55 USD,Suspended,Mwanza,-15,4G,Samsung Galaxy A14; Android 13,None
REC-101272,+255(0)714014796,N/A,"Nov 29, 2023 23:17",TIGO_PESA_CASH_IN,,actve,Arusha﻿,360,2G GSM,Samsung Galaxy A14; Android 13,None
REC-101345,+255 714 001 096,255714015618,1701319437,TIGO_PESA_CASH_OUT,"TZS 139,894.16/=",Suspended,DAR ES SALAAM,360,2G GSM,"iPhone 13,2 (iOS 16.5)","Customer stated: ""Cannot connect to 4G in Posta area, please help"""
REC-100805,0000000000,N/A,11/24/2023 01:31 AM,VOICE_CALL,NaN,Active,Mwanza Rock City,-15,4G LTE,Transsion Infinix Hot 30,"VIP Subscriber, priority routing"
REC-102176,+255/714/032606,255714026167,"Nov 28, 2023 13:50",DATA_RECHARGE,"7,687.63",Suspended,DODOMA (Capital),360,2G GSM,Huawei P40 Lite,"VIP Subscriber, priority routing"
REC-101449,+255/714/023290,+255 714 026 304,UNKNOWN_TIME,SMS_PACK,,ACTIVE,Arusha (CBD),0,4G LTE,Tecno Spark 10 Pro,"USSD session timeout, retry OK"
REC-100386,+255(0)714021783,+255 714 024 523,2023-11-07 22:47:46,VOICE_CALL,"TZS 139,566.55/=",Pending_Kyc​,dar-es-salaam,N/A,unknown,Nokia 105 (Feature Phone),"VIP Subscriber, priority routing"
REC-101480,N/A,tel:+255-714-010823,"Dec 02, 2023 05:21",SMS_PACK,"TZS 57,349.81/=",null,Mwanza Rock City,120,4G,Nokia 105 (Feature Phone),"USSD session timeout, retry OK"
REC-101346,0714-013-289,+255 714 011 782,2023-11-19 03:27:16,BUNDLE_PURCHASE,"-15,992.62",actve,dar-es-salaam,360,4G LTE,Unknown,Standard call; cell handover success
REC-101946,0714-019-180,tel:+255-714-001233,"Dec 04, 2023 03:12",DATA_RECHARGE,"TZS 3,874.64/=",CHURNED,"Stone Town, Zanzibar",1800,LTE-A,Nokia 105 (Feature Phone),"VIP Subscriber, priority routing"
REC-101739,255714003425,+255/714/013563,11/14/2023 01:18 AM,TIGO_PESA_CASH_OUT,$ 10.88 USD,churn,ZNZ,30s,3G WCDMA,Transsion Infinix Hot 30,None
REC-100201,tel:+255-714-001507,+255 714 028 359,11/09/2023 07:38 PM,SMS_PACK,NaN,suspnded,ZNZ,45,2G GSM,"iPhone 13,2 (iOS 16.5)","USSD session timeout, retry OK"
REC-100469,  714027263  ,+255(0)714028359,2023-11-27 21:52:12,VOICE_CALL,NaN,CHURNED,Mwanza Rock City,360,3G WCDMA,Samsung Galaxy A14; Android 13,
REC-101956,0714-015-755,  714002055  ,2023-11-11 12:27:32,BUNDLE_PURCHASE,  119327  ,Terminated,Dodoma,45,4G,Unknown,"VIP Subscriber, priority routing"
REC-102490,tel:+255-714-017399,0000000000,28-11-2023 13:36:40,TIGO_PESA_CASH_OUT,$ 0.48 USD,null,  Dar es Salaam  ,45,5G NR,"iPhone 13,2 (iOS 16.5)",Flagged for KYC update; verified by agent
REC-102428,  714024523  ,0714-023-153,2023-11-26 23:23:11,SMS_PACK,"TZS 57,118.50/=",suspnded,Arusha,-15,2G GSM,Transsion Infinix Hot 30,"Customer stated: ""Cannot connect to 4G in Posta area, please help"""
