transaction_id,timestamp,sender_msisdn,recipient_identifier,channel,transaction_type,amount_tzs,fee_revenue_tzs,cell_id,status,failure_reason
TPESA-3000029,2026-09-03 19:43:01,+25567***237,TILL-817787,TIGO_PESA_APP,LIPA_KWA_SIMU_MERCHANT,58500.0,468.0,TZ-DAR-012,SUCCESS,NONE
TPESA-3000030,2026-09-06 14:58:15,+25571***677,+25565561029,TIGO_PESA_APP,P2P_TRANSFER,115100.0,1726.5,TZ-MBY-002,SUCCESS,NONE
TPESA-3000031,2026-09-05 20:05:53,+25565***507,TILL-736842,TIGO_PESA_APP,LIPA_KWA_SIMU_MERCHANT,48200.0,385.6,TZ-DAR-009,SUCCESS,NONE
TPESA-3000032,2026-09-07 23:38:56,+25577***975,+25565940528,TIGO_PESA_APP,BANK_TO_WALLET_DEPOSIT,556400.0,8346.0,TZ-DAR-001,SUCCESS,NONE
TPESA-3000033,2026-09-01 16:36:41,+25565***825,+25565714825,TIGO_PESA_APP,AIRTIME_TOP_UP,18000.0,0.0,TZ-TAN-002,SUCCESS,NONE
TPESA-3000034,2026-09-02 10:01:05,+25571***236,+25571128929,TIGO_PESA_APP,CASH_OUT_WAKALA,81300.0,1219.5,TZ-TAB-001,SUCCESS,NONE
TPESA-3000035,2026-09-05 14:31:34,+25567***833,TILL-626322,TIGO_PESA_APP,LIPA_KWA_SIMU_MERCHANT,17800.0,142.4,TZ-DOM-001,SUCCESS,NONE
TPESA-3000036,2026-09-07 06:40:59,+25577***291,+25571217766,TIGO_PESA_APP,CASH_OUT_WAKALA,242800.0,3642.0,TZ-DAR-015,SUCCESS,NONE
TPESA-3000037,2026-09-02 07:18:37,+25567***822,+25571225861,USSD_*150*01#,P2P_TRANSFER,48200.0,723.0,TZ-MWA-003,SUCCESS,NONE
TPESA-3000038,2026-09-07 11:59:47,+25567***173,+25576488606,TIGO_PESA_APP,CASH_OUT_WAKALA,142000.0,2130.0,TZ-DAR-013,SUCCESS,NONE
TPESA-3000039,2026-09-03 18:28:18,+25577***289,+25567566567,TIGO_PESA_APP,CASH_OUT_WAKALA,146200.0,0.0,TZ-TAN-002,FAILED,INSUFFICIENT_FUNDS
TPESA-3000040,2026-09-07 21:37:56,+25577***043,TILL-949974,TIGO_PESA_APP,LIPA_KWA_SIMU_MERCHANT,87800.0,702.4,TZ-DAR-005,SUCCESS,NONE
TPESA-3000041,2026-09-04 15:35:54,+25571***581,+25574112803,TIGO_PESA_APP,P2P_TRANSFER,238200.0,3573.0,TZ-SON-001,SUCCESS,NONE
TPESA-3000042,2026-09-03 19:00:16,+25571***431,+25571405863,TIGO_PESA_APP,BANK_TO_WALLET_DEPOSIT,885200.0,13278.0,TZ-MAR-001,SUCCESS,NONE
TPESA-3000043,2026-09-01 12:04:50,+25571***981,+25571542981,USSD_*150*01#,AIRTIME_TOP_UP,17500.0,0.0,TZ-MBY-001,SUCCESS,NONE
TPESA-3000044,2026-09-06 10:09:45,+25565***228,+25565669530,TIGO_PESA_APP,BANK_TO_WALLET_DEPOSIT,211100.0,3166.5,TZ-ZNZ-001,SUCCESS,NONE
TPESA-3000045,2026-09-04 19:48:59,+25565***351,+25565744903,USSD_*150*01#,P2P_TRANSFER,127500.0,1912.5,TZ-SON-001,SUCCESS,NONE
TPESA-3000046,2026-09-05 09:24:32,+25567***526,+25567424526,USSD_*150*01#,AIRTIME_TOP_UP,17200.0,0.0,TZ-PEM-001,SUCCESS,NONE
TPESA-3000047,2026-09-05 10:57:06,+25571***185,+25565649359,TIGO_PESA_APP,P2P_TRANSFER,54000.0,810.0,TZ-KIG-001,SUCCESS,NONE
TPESA-3000048,2026-09-07 19:27:50,+25567***581,TILL-506829,TIGO_PESA_APP,LIPA_KWA_SIMU_MERCHANT,79700.0,637.6,TZ-SHI-001,SUCCESS,NONE
TPESA-3000049,2026-09-06 06:16:50,+25577***636,TILL-953205,TIGO_PESA_APP,LIPA_KWA_SIMU_MERCHANT,76200.0,609.6,TZ-DAR-003,SUCCESS,NONE
TPESA-3000050,2026-09-03 12:33:19,+25567***011,+25567267011,USSD_*150*01#,AIRTIME_TOP_UP,7300.0,0.0,TZ-PEM-001,SUCCESS,NONE
TPESA-3000051,2026-09-01 17:17:33,+25571***775,+25571998306,TIGO_PESA_APP,P2P_TRANSFER,203600.0,3054.0,TZ-DAR-002,SUCCESS,NONE
TPESA-3000052,2026-09-04 07:04:28,+25567***844,+25567982844,TIGO_PESA_APP,AIRTIME_TOP_UP,8400.0,0.0,TZ-ZNZ-004,SUCCESS,NONE
TPESA-3000053,2026-09-02 22:40:40,+25571***649,TILL-596442,USSD_*150*01#,LIPA_KWA_SIMU_MERCHANT,7400.0,59.2,TZ-DAR-011,SUCCESS,NONE
TPESA-3000054,2026-09-02 13:14:35,+25571***566,+25571784339,USSD_*150*01#,CASH_OUT_WAKALA,305700.0,4585.5,TZ-DAR-013,SUCCESS,NONE
TPESA-3000055,2026-09-06 09:48:01,+25565***123,+25565992530,TIGO_PESA_APP,P2P_TRANSFER,85000.0,1275.0,TZ-ZNZ-001,SUCCESS,NONE
TPESA-3000056,2026-09-06 20:21:03,+25571***706,+25565483443,TIGO_PESA_APP,P2P_TRANSFER,17500.0,350.0,TZ-DAR-002,SUCCESS,NONE
TPESA-3000057,2026-09-02 15:09:53,+25571***315,+25565171199,TIGO_PESA_APP,P2P_TRANSFER,217800.0,3267.0,TZ-IRI-001,SUCCESS,NONE
TPESA-3000058,2026-09-03 06:17:19,+25567***202,+25565205440,TIGO_PESA_APP,CASH_OUT_WAKALA,371000.0,5565.0,TZ-SON-001,SUCCESS,NONE
TPESA-3000059,2026-09-02 16:13:32,+25571***504,+25575262038,TIGO_PESA_APP,P2P_TRANSFER,202800.0,3042.0,TZ-DOM-001,SUCCESS,NONE
TPESA-3000060,2026-09-04 10:03:44,+25571***775,+25575350534,USSD_*150*01#,P2P_TRANSFER,238300.0,0.0,TZ-DAR-002,FAILED,INSUFFICIENT_FUNDS
TPESA-3000061,2026-09-06 15:24:02,+25565***713,+25576724391,TIGO_PESA_APP,P2P_TRANSFER,33400.0,501.0,TZ-DAR-012,SUCCESS,NONE
TPESA-3000062,2026-09-03 21:30:05,+25571***884,+25567230460,USSD_*150*01#,CASH_OUT_WAKALA,366800.0,5502.0,TZ-MOR-001,SUCCESS,NONE
TPESA-3000063,2026-09-07 21:18:04,+25571***941,+25571303294,TIGO_PESA_APP,BANK_TO_WALLET_DEPOSIT,229600.0,3444.0,TZ-ARU-001,SUCCESS,NONE
TPESA-3000064,2026-09-07 14:53:12,+25567***010,+25567213010,TIGO_PESA_APP,AIRTIME_TOP_UP,8700.0,0.0,TZ-GEI-001,SUCCESS,NONE
TPESA-3000065,2026-09-06 22:52:03,+25567***545,+25567691637,TIGO_PESA_APP,P2P_TRANSFER,33400.0,501.0,TZ-KIL-003,SUCCESS,NONE
TPESA-3000066,2026-09-06 22:03:47,+25565***934,+25565460934,TIGO_PESA_APP,AIRTIME_TOP_UP,17800.0,0.0,TZ-TAR-001,SUCCESS,NONE
TPESA-3000067,2026-09-01 18:52:25,+25565***579,+25574551562,USSD_*150*01#,BANK_TO_WALLET_DEPOSIT,225300.0,3379.5,TZ-KIL-001,SUCCESS,NONE
TPESA-3000068,2026-09-01 17:41:24,+25577***604,TILL-786765,USSD_*150*01#,LIPA_KWA_SIMU_MERCHANT,87900.0,703.2,TZ-ARU-002,SUCCESS,NONE
TPESA-3000069,2026-09-01 18:54:55,+25565***827,+25571654347,USSD_*150*01#,BANK_TO_WALLET_DEPOSIT,542700.0,8140.5,TZ-MOR-001,SUCCESS,NONE
TPESA-3000070,2026-09-02 10:43:42,+25577***877,+25577606877,TIGO_PESA_APP,AIRTIME_TOP_UP,4700.0,0.0,TZ-PWA-002,SUCCESS,NONE
TPESA-3000071,2026-09-01 09:46:26,+25577***235,+25567867970,TIGO_PESA_APP,BANK_TO_WALLET_DEPOSIT,726900.0,10903.5,TZ-ZNZ-002,SUCCESS,NONE
TPESA-3000072,2026-09-07 12:54:57,+25571***941,TILL-529278,USSD_*150*01#,LIPA_KWA_SIMU_MERCHANT,134400.0,1075.2,TZ-ARU-001,SUCCESS,NONE
TPESA-3000073,2026-09-06 17:49:44,+25567***395,+25574335714,TIGO_PESA_APP,BANK_TO_WALLET_DEPOSIT,669300.0,10039.5,TZ-KIG-001,SUCCESS,NONE
TPESA-3000074,2026-09-02 21:40:06,+25565***166,+25577226205,USSD_*150*01#,CASH_OUT_WAKALA,43900.0,658.5,TZ-KIL-002,SUCCESS,NONE
TPESA-3000075,2026-09-07 17:02:08,+25565***800,+25565240800,TIGO_PESA_APP,AIRTIME_TOP_UP,6900.0,0.0,TZ-DAR-009,SUCCESS,NONE
TPESA-3000076,2026-09-01 14:13:40,+25577***481,+25567536247,TIGO_PESA_APP,P2P_TRANSFER,53200.0,798.0,TZ-MAR-001,SUCCESS,NONE
TPESA-3000077,2026-09-04 11:30:04,+25565***579,+25565158579,USSD_*150*01#,AIRTIME_TOP_UP,12300.0,0.0,TZ-KIL-001,SUCCESS,NONE
TPESA-3000078,2026-09-02 10:02:34,+25567***996,TILL-981715,TIGO_PESA_APP,LIPA_KWA_SIMU_MERCHANT,128700.0,1029.6,TZ-DAR-010,SUCCESS,NONE
TPESA-3000079,2026-09-07 15:02:01,+25577***830,+25577648830,TIGO_PESA_APP,AIRTIME_TOP_UP,1200.0,0.0,TZ-ARU-001,SUCCESS,NONE
TPESA-3000080,2026-09-06 19:49:52,+25571***853,+25571497595,TIGO_PESA_APP,CASH_OUT_WAKALA,33900.0,508.5,TZ-DOM-002,SUCCESS,NONE
TPESA-3000081,2026-09-03 18:02:19,+25577***918,+25576238390,TIGO_PESA_APP,P2P_TRANSFER,237500.0,3562.5,TZ-ARU-003,SUCCESS,NONE
TPESA-3000082,2026-09-06 21:44:19,+25571***172,+25577817310,USSD_*150*01#,P2P_TRANSFER,169300.0,2539.5,TZ-DAR-006,SUCCESS,NONE
TPESA-3000083,2026-09-03 14:38:37,+25571***244,+25565833279,USSD_*150*01#,P2P_TRANSFER,18300.0,350.0,TZ-ZNZ-002,SUCCESS,NONE
TPESA-3000084,2026-09-07 15:38:38,+25565***845,+25565300845,TIGO_PESA_APP,AIRTIME_TOP_UP,19100.0,0.0,TZ-ZNZ-001,SUCCESS,NONE
TPESA-3000085,2026-09-06 07:10:26,+25577***246,TILL-623061,TIGO_PESA_APP,LIPA_KWA_SIMU_MERCHANT,9300.0,74.4,TZ-MBY-001,SUCCESS,NONE
TPESA-3000086,2026-09-02 12:20:05,+25567***222,+25567305222,USSD_*150*01#,AIRTIME_TOP_UP,16800.0,0.0,TZ-TAB-001,SUCCESS,NONE
TPESA-3000087,2026-09-03 18:18:11,+25571***109,+25571836109,TIGO_PESA_APP,AIRTIME_TOP_UP,4000.0,0.0,TZ-DAR-010,SUCCESS,NONE
TPESA-3000088,2026-09-06 10:10:10,+25571***703,+25567355893,TIGO_PESA_APP,P2P_TRANSFER,157500.0,2362.5,TZ-PEM-001,SUCCESS,NONE
TPESA-3000089,2026-09-06 12:44:26,+25577***813,+25565300615,TIGO_PESA_APP,P2P_TRANSFER,234400.0,3516.0,TZ-TND-001,SUCCESS,NONE
TPESA-3000090,2026-09-02 17:10:55,+25565***917,+25577740324,USSD_*150*01#,P2P_TRANSFER,109100.0,1636.5,TZ-BUK-001,SUCCESS,NONE
TPESA-3000091,2026-09-07 14:25:36,+25565***101,+25571984604,TIGO_PESA_APP,P2P_TRANSFER,95100.0,1426.5,TZ-DAR-013,SUCCESS,NONE
TPESA-3000092,2026-09-03 21:58:09,+25571***175,+25571927175,USSD_*150*01#,AIRTIME_TOP_UP,19500.0,0.0,TZ-KIG-001,SUCCESS,NONE
TPESA-3000093,2026-09-01 21:01:25,+25577***865,+25567207180,USSD_*150*01#,P2P_TRANSFER,206500.0,3097.5,TZ-MTW-001,SUCCESS,NONE
TPESA-3000094,2026-09-02 06:44:45,+25571***264,+25574656462,USSD_*150*01#,CASH_OUT_WAKALA,490000.0,7350.0,TZ-KAH-001,SUCCESS,NONE
TPESA-3000095,2026-09-06 17:07:37,+25567***531,+25577416699,TIGO_PESA_APP,BANK_TO_WALLET_DEPOSIT,547800.0,8217.0,TZ-TAN-001,SUCCESS,NONE
TPESA-3000096,2026-09-04 07:27:37,+25567***456,TILL-874592,USSD_*150*01#,LIPA_KWA_SIMU_MERCHANT,78000.0,0.0,TZ-DAR-015,FAILED,INSUFFICIENT_FUNDS
TPESA-3000097,2026-09-07 16:55:12,+25577***859,+25567115024,TIGO_PESA_APP,CASH_OUT_WAKALA,455600.0,6834.0,TZ-ARU-002,SUCCESS,NONE
TPESA-3000098,2026-09-07 22:05:14,+25571***859,+25567945348,TIGO_PESA_APP,P2P_TRANSFER,30400.0,456.0,TZ-MWA-003,SUCCESS,NONE
TPESA-3000099,2026-09-07 16:37:31,+25571***804,+25576112025,TIGO_PESA_APP,BANK_TO_WALLET_DEPOSIT,470300.0,7054.5,TZ-MWA-003,SUCCESS,NONE
TPESA-3000100,2026-09-03 17:24:34,+25577***941,+25571119949,TIGO_PESA_APP,CASH_OUT_WAKALA,150700.0,2260.5,TZ-DOM-001,SUCCESS,NONE
TPESA-3000101,2026-09-07 13:54:44,+25577***381,+25575456809,USSD_*150*01#,P2P_TRANSFER,32100.0,481.5,TZ-TAN-002,SUCCESS,NONE
TPESA-3000102,2026-09-04 23:29:07,+25571***398,+25567834208,TIGO_PESA_APP,P2P_TRANSFER,130500.0,1957.5,TZ-DAR-004,SUCCESS,NONE
TPESA-3000103,2026-09-07 12:30:09,+25571***024,+25577487172,USSD_*150*01#,P2P_TRANSFER,216900.0,3253.5,TZ-MOR-001,SUCCESS,NONE
TPESA-3000104,2026-09-05 13:20:25,+25571***373,+25571928373,USSD_*150*01#,AIRTIME_TOP_UP,18600.0,0.0,TZ-ZNZ-003,SUCCESS,NONE
TPESA-3000105,2026-09-04 14:15:18,+25565***147,+25567784798,USSD_*150*01#,P2P_TRANSFER,207100.0,3106.5,TZ-MOR-001,SUCCESS,NONE
TPESA-3000106,2026-09-05 23:59:40,+25571***205,+25577327214,USSD_*150*01#,P2P_TRANSFER,133900.0,2008.5,TZ-TAB-001,SUCCESS,NONE
TPESA-3000107,2026-09-03 21:08:25,+25577***076,+25575320772,USSD_*150*01#,CASH_OUT_WAKALA,191200.0,2868.0,TZ-IRI-001,SUCCESS,NONE
TPESA-3000108,2026-09-06 19:24:20,+25577***827,+25571386716,USSD_*150*01#,P2P_TRANSFER,68800.0,1032.0,TZ-NJO-001,SUCCESS,NONE
TPESA-3000109,2026-09-03 12:25:40,+25577***523,+25571217868,USSD_*150*01#,P2P_TRANSFER,116100.0,1741.5,TZ-MBY-001,SUCCESS,NONE
TPESA-3000110,2026-09-04 17:58:49,+25571***110,+25565351673,USSD_*150*01#,P2P_TRANSFER,177300.0,2659.5,TZ-ARU-001,SUCCESS,NONE
TPESA-3000111,2026-09-03 06:30:28,+25567***733,+25577339573,USSD_*150*01#,CASH_OUT_WAKALA,169100.0,2536.5,TZ-DAR-011,SUCCESS,NONE
TPESA-3000112,2026-09-03 16:24:42,+25565***050,+25567626535,TIGO_PESA_APP,BANK_TO_WALLET_DEPOSIT,307300.0,4609.5,TZ-DAR-012,SUCCESS,NONE
TPESA-3000113,2026-09-06 15:33:13,+25571***577,+25577679059,USSD_*150*01#,P2P_TRANSFER,208500.0,3127.5,TZ-DAR-010,SUCCESS,NONE
TPESA-3000114,2026-09-05 09:35:23,+25577***077,+25577612652,USSD_*150*01#,CASH_OUT_WAKALA,438100.0,6571.5,TZ-KIL-001,SUCCESS,NONE
TPESA-3000115,2026-09-04 13:49:27,+25565***781,+25565664781,USSD_*150*01#,AIRTIME_TOP_UP,10800.0,0.0,TZ-KIG-001,SUCCESS,NONE
TPESA-3000116,2026-09-05 07:03:36,+25571***169,+25577203848,USSD_*150*01#,CASH_OUT_WAKALA,382200.0,5733.0,TZ-DAR-007,SUCCESS,NONE
TPESA-3000117,2026-09-03 10:57:37,+25567***691,+25571233300,TIGO_PESA_APP,P2P_TRANSFER,89100.0,1336.5,TZ-TND-001,SUCCESS,NONE
TPESA-3000118,2026-09-05 09:10:40,+25565***459,TILL-928884,TIGO_PESA_APP,LIPA_KWA_SIMU_MERCHANT,27900.0,223.2,TZ-PWA-002,SUCCESS,NONE
TPESA-3000119,2026-09-06 08:11:38,+25571***919,+25571576919,USSD_*150*01#,AIRTIME_TOP_UP,16700.0,0.0,TZ-DAR-001,SUCCESS,NONE
TPESA-3000120,2026-09-06 07:01:59,+25565***896,+25571654764,USSD_*150*01#,P2P_TRANSFER,98000.0,1470.0,TZ-DAR-015,SUCCESS,NONE
TPESA-3000121,2026-09-01 12:33:08,+25565***943,+25571557809,TIGO_PESA_APP,BANK_TO_WALLET_DEPOSIT,923500.0,13852.5,TZ-DAR-007,SUCCESS,NONE
TPESA-3000122,2026-09-05 23:40:13,+25577***435,+25574908885,USSD_*150*01#,CASH_OUT_WAKALA,474500.0,7117.5,TZ-DAR-015,SUCCESS,NONE
TPESA-3000123,2026-09-07 09:36:29,+25565***377,+25574619258,USSD_*150*01#,CASH_OUT_WAKALA,482500.0,7237.5,TZ-KIL-002,SUCCESS,NONE
TPESA-3000124,2026-09-04 10:14:15,+25567***055,+25575381277,TIGO_PESA_APP,P2P_TRANSFER,195900.0,2938.5,TZ-TAN-001,SUCCESS,NONE
TPESA-3000125,2026-09-03 14:16:56,+25571***838,TILL-591595,USSD_*150*01#,LIPA_KWA_SIMU_MERCHANT,21000.0,168.0,TZ-TAR-001,SUCCESS,NONE
TPESA-3000126,2026-09-02 19:36:25,+25565***199,+25565788323,USSD_*150*01#,P2P_TRANSFER,104000.0,1560.0,TZ-TAN-002,SUCCESS,NONE
TPESA-3000127,2026-09-04 23:05:55,+25571***566,+25577427717,USSD_*150*01#,CASH_OUT_WAKALA,385100.0,5776.5,TZ-ARU-003,SUCCESS,NONE
TPESA-3000128,2026-09-06 11:54:44,+25577***573,+25567349200,TIGO_PESA_APP,CASH_OUT_WAKALA,369900.0,5548.5,TZ-MBY-002,SUCCESS,NONE
TPESA-3000129,2026-09-01 23:31:54,+25567***814,+25565311725,TIGO_PESA_APP,CASH_OUT_WAKALA,259500.0,3892.5,TZ-TAB-001,SUCCESS,NONE
TPESA-3000130,2026-09-06 16:10:59,+25577***841,+25576292547,USSD_*150*01#,P2P_TRANSFER,147700.0,2215.5,TZ-TAN-003,SUCCESS,NONE
TPESA-3000131,2026-09-07 21:11:16,+25567***796,TILL-512559,USSD_*150*01#,LIPA_KWA_SIMU_MERCHANT,127100.0,1016.8,TZ-MBY-001,SUCCESS,NONE
TPESA-3000132,2026-09-01 23:51:26,+25577***203,+25577317203,USSD_*150*01#,AIRTIME_TOP_UP,17200.0,0.0,TZ-TAB-001,SUCCESS,NONE
TPESA-3000133,2026-09-04 16:00:57,+25565***863,+25567609840,USSD_*150*01#,P2P_TRANSFER,49400.0,741.0,TZ-MOR-001,SUCCESS,NONE
TPESA-3000134,2026-09-07 15:41:48,+25577***992,TILL-931878,TIGO_PESA_APP,LIPA_KWA_SIMU_MERCHANT,25800.0,206.4,TZ-KIL-003,SUCCESS,NONE
TPESA-3000135,2026-09-04 20:18:01,+25567***876,+25574714616,TIGO_PESA_APP,P2P_TRANSFER,213600.0,3204.0,TZ-DAR-012,SUCCESS,NONE
TPESA-3000136,2026-09-06 20:50:48,+25565***215,+25567892967,USSD_*150*01#,P2P_TRANSFER,69300.0,1039.5,TZ-MOR-001,SUCCESS,NONE
TPESA-3000137,2026-09-04 13:08:47,+25577***088,+25575172472,USSD_*150*01#,P2P_TRANSFER,90900.0,1363.5,TZ-DAR-008,SUCCESS,NONE
TPESA-3000138,2026-09-04 13:10:32,+25565***977,TILL-780544,TIGO_PESA_APP,LIPA_KWA_SIMU_MERCHANT,76800.0,614.4,TZ-KIL-003,SUCCESS,NONE
TPESA-3000139,2026-09-05 15:53:13,+25571***379,+25565991885,USSD_*150*01#,P2P_TRANSFER,109500.0,1642.5,TZ-ZNZ-004,SUCCESS,NONE
TPESA-3000140,2026-09-05 15:14:38,+25567***567,+25577973871,USSD_*150*01#,CASH_OUT_WAKALA,375100.0,5626.5,TZ-DAR-006,SUCCESS,NONE
TPESA-3000141,2026-09-03 06:46:54,+25565***559,+25567168586,USSD_*150*01#,P2P_TRANSFER,87800.0,1317.0,TZ-DOM-003,SUCCESS,NONE
TPESA-3000142,2026-09-01 14:28:36,+25567***792,+25567227902,USSD_*150*01#,P2P_TRANSFER,15500.0,350.0,TZ-ARU-002,SUCCESS,NONE
TPESA-3000143,2026-09-07 15:34:20,+25567***949,+25574144288,USSD_*150*01#,P2P_TRANSFER,103100.0,1546.5,TZ-ZNZ-003,SUCCESS,NONE
TPESA-3000144,2026-09-07 10:45:16,+25567***337,+25575676182,TIGO_PESA_APP,P2P_TRANSFER,113400.0,1701.0,TZ-ZNZ-002,SUCCESS,NONE
TPESA-3000145,2026-09-04 14:54:39,+25567***463,+25574469023,USSD_*150*01#,CASH_OUT_WAKALA,165100.0,2476.5,TZ-DOM-001,SUCCESS,NONE
TPESA-3000146,2026-09-01 12:22:55,+25565***625,+25577642866,TIGO_PESA_APP,CASH_OUT_WAKALA,359500.0,5392.5,TZ-TAN-001,SUCCESS,NONE
TPESA-3000147,2026-09-05 09:52:25,+25565***147,+25577248682,USSD_*150*01#,P2P_TRANSFER,128600.0,1929.0,TZ-MOR-001,SUCCESS,NONE
TPESA-3000148,2026-09-05 18:32:41,+25577***198,+25577289292,USSD_*150*01#,P2P_TRANSFER,110900.0,1663.5,TZ-MTW-001,SUCCESS,NONE
TPESA-3000149,2026-09-06 11:39:11,+25567***432,+25565103362,TIGO_PESA_APP,CASH_OUT_WAKALA,464400.0,6966.0,TZ-DAR-003,SUCCESS,NONE
TPESA-3000150,2026-09-05 08:51:01,+25577***619,TILL-886884,TIGO_PESA_APP,LIPA_KWA_SIMU_MERCHANT,44400.0,355.2,TZ-SHI-001,SUCCESS,NONE
TPESA-3000151,2026-09-04 10:09:20,+25571***602,+25571701552,TIGO_PESA_APP,CASH_OUT_WAKALA,175900.0,2638.5,TZ-KAH-001,SUCCESS,NONE
