session_id,timestamp,msisdn,imsi,cell_id,technology,apn_name,uplink_mb,downlink_mb,total_traffic_mb,duration_min,avg_throughput_mbps,rtt_latency_ms,packet_loss_pct,billable_amount_tzs
CDR-D-2000015,2026-09-07 16:34:11,+25577694188,640028698043887,TZ-DAR-010,4G,tigo.internet,12.29,70.1,82.4,88,23.11,52.8,0.09,181.27
CDR-D-2000016,2026-09-07 21:46:49,+25571491172,640029415119956,TZ-DAR-006,4G,tigo.internet,84.58,384.93,469.5,27,20.44,32.0,0.13,1032.91
CDR-D-2000017,2026-09-02 23:46:38,+25571772580,640029785427977,TZ-DAR-006,4G,tigo.internet,117.2,509.54,626.74,18,27.27,34.6,0.13,1378.83
CDR-D-2000018,2026-09-04 12:03:52,+25577871043,640021813743830,TZ-DAR-005,4G,tigo.pesa.app,158.44,563.48,721.92,81,38.79,26.4,0.36,0.0
CDR-D-2000019,2026-09-03 04:47:43,+25565862398,640029473523940,TZ-ZNZ-003,4G,tigo.internet,46.55,195.84,242.39,42,32.44,41.9,0.42,533.25
CDR-D-2000020,2026-09-06 11:33:44,+25571108454,640028282534126,TZ-MTW-001,4G,tigo.internet,59.93,235.98,295.91,31,57.31,39.8,0.21,651.0
CDR-D-2000021,2026-09-04 06:02:40,+25567814956,640026595603986,TZ-KAH-001,4G,tigo.internet,30.31,104.13,134.44,33,49.52,47.2,0.08,295.78
CDR-D-2000022,2026-09-07 23:34:50,+25565275715,640029283130753,TZ-DAR-011,4G,tigo.internet,135.77,515.05,650.82,85,49.32,45.6,0.37,1431.81
CDR-D-2000023,2026-09-02 03:15:02,+25567137581,640026580427322,TZ-SHI-001,3G,tigo.pesa.app,14.11,53.04,67.15,78,4.98,99.0,2.23,0.0
CDR-D-2000024,2026-09-05 03:02:24,+25567614646,640027490269556,TZ-DOM-001,5G,tigo.internet,234.38,1022.95,1257.33,55,52.7,26.8,0.12,2766.13
CDR-D-2000025,2026-09-07 18:45:34,+25567250755,640025191103954,TZ-DAR-006,4G,tigo.internet,134.46,660.72,795.18,32,53.05,53.4,0.27,1749.4
CDR-D-2000026,2026-09-06 17:28:44,+25565894544,640024959218902,TZ-PEM-001,3G,tigo.internet,11.55,34.62,46.17,80,3.83,82.6,2.12,101.58
CDR-D-2000027,2026-09-06 14:39:02,+25567518612,640023657059704,TZ-DAR-003,5G,tigo.corporate,273.82,1278.33,1552.15,88,254.52,18.4,0.01,3414.73
CDR-D-2000028,2026-09-05 13:59:16,+25565517303,640021326139851,TZ-DAR-010,4G,tigo.pesa.app,214.27,722.7,936.97,37,31.87,37.4,0.4,0.0
CDR-D-2000029,2026-09-07 01:45:45,+25571178686,640027039626948,TZ-DAR-009,4G,tigo.internet,90.9,317.07,407.97,65,36.4,32.4,0.28,897.53
CDR-D-2000030,2026-09-03 21:50:03,+25565967977,640021032545020,TZ-KIL-003,3G,tigo.pesa.app,16.3,49.15,65.44,60,4.59,66.9,0.98,0.0
CDR-D-2000031,2026-09-04 21:34:26,+25567674213,640029635366717,TZ-MWA-003,4G,tigo.internet,13.73,88.43,102.16,77,58.3,43.2,0.43,224.75
CDR-D-2000032,2026-09-05 07:54:16,+25571154398,640021869986241,TZ-DAR-004,5G,tigo.internet,636.33,2845.69,3482.02,37,100.11,19.0,0.07,7660.45
CDR-D-2000033,2026-09-05 22:45:37,+25571491172,640029415119956,TZ-DAR-006,4G,tigo.mms,25.44,148.86,174.29,59,22.13,39.5,0.11,383.44
CDR-D-2000034,2026-09-06 07:38:30,+25565152427,640024079402141,TZ-BUK-001,3G,tigo.pesa.app,2.43,10.89,13.32,85,7.18,75.0,1.7,0.0
CDR-D-2000035,2026-09-01 16:19:18,+25571585968,640021362645516,TZ-ARU-002,4G,tigo.internet,46.26,246.39,292.65,48,13.76,33.3,0.36,643.84
CDR-D-2000036,2026-09-07 03:10:43,+25577260101,640028518563937,TZ-DAR-010,4G,tigo.internet,187.3,888.3,1075.6,74,16.8,38.4,0.06,2366.32
CDR-D-2000037,2026-09-06 09:51:58,+25565115658,640027707854414,TZ-ARU-002,4G,tigo.internet,135.97,658.36,794.33,71,37.68,46.3,0.36,1747.52
CDR-D-2000038,2026-09-03 03:15:58,+25567336540,640025946548987,TZ-MBY-001,4G,tigo.pesa.app,13.59,71.83,85.42,72,49.92,34.9,0.07,0.0
CDR-D-2000039,2026-09-06 10:17:19,+25565364178,640025119022697,TZ-ARU-002,4G,tigo.internet,48.22,162.01,210.23,44,42.69,36.6,0.34,462.5
CDR-D-2000040,2026-09-05 22:43:08,+25565411870,640024823580587,TZ-DAR-003,5G,tigo.internet,306.49,2236.9,2543.39,27,273.03,24.3,0.09,5595.46
CDR-D-2000041,2026-09-04 08:57:25,+25571504321,640021933998295,TZ-DOM-003,4G,tigo.internet,118.35,435.78,554.13,90,52.08,30.9,0.12,1219.09
CDR-D-2000042,2026-09-05 09:07:52,+25565971968,640025784450697,TZ-TAN-003,3G,tigo.corporate,11.68,32.92,44.6,62,4.87,118.2,1.22,98.11
CDR-D-2000043,2026-09-04 11:06:12,+25565361662,640023977168607,TZ-MWA-001,5G,tigo.corporate,707.75,2937.62,3645.37,6,240.99,23.6,0.02,8019.81
CDR-D-2000044,2026-09-02 16:23:49,+25571365617,640022283392443,TZ-DAR-001,5G,tigo.internet,234.82,1053.06,1287.87,71,156.19,22.4,0.07,2833.32
CDR-D-2000045,2026-09-07 20:07:37,+25577872918,640021857561275,TZ-ARU-003,4G,tigo.internet,94.21,590.92,685.13,47,16.08,40.1,0.41,1507.3
CDR-D-2000046,2026-09-02 22:47:10,+25567275133,640025491326131,TZ-DAR-009,4G,tigo.internet,70.2,341.36,411.56,79,20.93,53.9,0.35,905.43
CDR-D-2000047,2026-09-01 19:49:31,+25577785864,640022707272205,TZ-ZNZ-004,4G,tigo.internet,107.56,600.13,707.69,3,35.75,53.1,0.25,1556.92
CDR-D-2000048,2026-09-03 14:33:40,+25565145939,640021549034032,TZ-DOM-002,5G,tigo.corporate,194.37,1502.49,1696.87,84,87.21,16.1,0.06,3733.11
CDR-D-2000049,2026-09-03 10:16:59,+25571113595,640028489005480,TZ-IRI-001,4G,tigo.internet,40.82,169.88,210.7,62,12.57,39.2,0.41,463.55
CDR-D-2000050,2026-09-03 18:07:14,+25567670950,640023905778118,TZ-ARU-003,4G,tigo.pesa.app,122.47,761.91,884.38,52,60.25,35.8,0.13,0.0
CDR-D-2000051,2026-09-06 17:58:41,+25565406616,640027003585379,TZ-ZNZ-001,5G,tigo.internet,208.48,1125.63,1334.11,16,254.09,24.0,0.13,2935.04
CDR-D-2000052,2026-09-03 08:56:03,+25567231113,640028366710477,TZ-TAN-003,3G,tigo.internet,14.04,41.78,55.82,20,6.46,96.8,2.55,122.8
CDR-D-2000053,2026-09-03 11:15:48,+25567201866,640021950578005,TZ-TAB-001,3G,tigo.internet,8.13,35.13,43.26,69,5.54,83.9,2.2,95.17
CDR-D-2000054,2026-09-02 11:04:15,+25567278026,640029674596936,TZ-MWA-001,5G,tigo.internet,619.74,2617.16,3236.9,76,172.73,20.2,0.02,7121.18
CDR-D-2000055,2026-09-05 03:39:51,+25565971968,640025784450697,TZ-TAN-003,3G,tigo.pesa.app,17.92,82.14,100.06,5,2.87,66.1,0.69,0.0
CDR-D-2000056,2026-09-07 22:41:04,+25571576749,640025541726840,TZ-DAR-008,4G,tigo.internet,29.19,121.2,150.39,74,15.28,53.9,0.42,330.86
CDR-D-2000057,2026-09-03 09:38:18,+25571670816,640029646323272,TZ-ZNZ-002,4G,tigo.internet,36.86,167.03,203.89,3,31.4,33.0,0.09,448.55
CDR-D-2000058,2026-09-01 18:36:15,+25571797309,640025245043800,TZ-DAR-005,4G,tigo.internet,124.07,442.06,566.13,18,18.39,37.1,0.39,1245.48
CDR-D-2000059,2026-09-01 18:46:55,+25571730145,640028229625864,TZ-PWA-001,4G,tigo.internet,22.0,87.56,109.56,67,47.74,53.4,0.25,241.02
CDR-D-2000060,2026-09-07 02:24:59,+25571706012,640024139249064,TZ-SHI-001,3G,tigo.internet,4.56,12.56,17.11,4,2.54,113.9,2.74,37.65
CDR-D-2000061,2026-09-06 18:31:00,+25577148381,640028497100471,TZ-TAN-002,3G,tigo.corporate,11.07,34.26,45.33,49,3.34,116.7,1.43,99.72
CDR-D-2000062,2026-09-06 04:55:04,+25571823468,640025905881794,TZ-SON-001,3G,tigo.internet,4.98,13.79,18.77,10,3.19,135.8,2.8,41.3
CDR-D-2000063,2026-09-05 14:59:05,+25565204271,640022396847823,TZ-TAR-001,3G,tigo.pesa.app,2.16,7.69,9.85,35,6.34,100.0,2.14,0.0
CDR-D-2000064,2026-09-01 15:33:14,+25571911192,640029667651430,TZ-MWA-002,4G,tigo.internet,201.92,896.17,1098.09,41,51.56,44.9,0.39,2415.8
CDR-D-2000065,2026-09-02 13:40:29,+25567636538,640026676402384,TZ-DAR-003,5G,tigo.internet,582.04,2914.62,3496.66,7,124.2,16.0,0.14,7692.65
CDR-D-2000066,2026-09-07 00:26:41,+25567741390,640023271782991,TZ-DAR-007,4G,tigo.internet,253.86,948.59,1202.45,88,35.83,49.8,0.12,2645.38
CDR-D-2000067,2026-09-01 13:43:39,+25565598560,640024756438921,TZ-SHI-001,3G,tigo.pesa.app,23.9,66.84,90.73,66,2.98,129.8,1.96,0.0
CDR-D-2000068,2026-09-06 19:03:48,+25571862400,640022823212172,TZ-TND-001,3G,tigo.internet,21.32,74.59,95.92,53,3.45,106.2,1.55,211.01
CDR-D-2000069,2026-09-03 05:55:01,+25565950083,640028254773516,TZ-DAR-004,5G,tigo.internet,484.52,2497.19,2981.71,76,169.38,17.5,0.1,6559.76
CDR-D-2000070,2026-09-06 06:34:43,+25577350164,640023666637135,TZ-MWA-002,4G,tigo.internet,38.8,133.73,172.53,73,63.82,28.4,0.06,379.57
CDR-D-2000071,2026-09-07 08:22:27,+25565816052,640026368890859,TZ-TAN-002,3G,tigo.internet,13.78,54.54,68.32,43,1.97,105.7,2.02,150.3
CDR-D-2000072,2026-09-06 16:01:23,+25565717466,640028127372046,TZ-DOM-002,5G,tigo.internet,115.29,586.44,701.73,66,76.71,18.6,0.03,1543.8
CDR-D-2000073,2026-09-05 10:29:53,+25577863036,640027955867712,TZ-DOM-001,5G,tigo.corporate,380.23,2876.22,3256.45,77,278.85,16.7,0.02,7164.18
CDR-D-2000074,2026-09-06 19:43:55,+25571480570,640027213172814,TZ-DAR-010,4G,tigo.internet,151.27,633.68,784.94,29,21.45,44.4,0.07,1726.88
CDR-D-2000075,2026-09-06 03:36:10,+25567211760,640025959736235,TZ-NJO-001,3G,tigo.corporate,24.05,61.96,86.01,3,6.43,128.6,1.09,189.23
CDR-D-2000076,2026-09-02 07:50:40,+25571154398,640021869986241,TZ-DAR-004,5G,tigo.internet,435.91,3070.17,3506.08,59,68.51,18.3,0.08,7713.38
CDR-D-2000077,2026-09-06 21:47:02,+25577958160,640027539441086,TZ-ZNZ-001,5G,tigo.internet,453.79,2262.74,2716.53,78,105.41,18.3,0.07,5976.36
CDR-D-2000078,2026-09-04 05:54:27,+25565211957,640021564985269,TZ-TAB-001,3G,tigo.internet,11.45,50.37,61.82,34,3.37,74.1,1.74,136.01
CDR-D-2000079,2026-09-02 18:15:13,+25567907756,640026186758088,TZ-TAN-003,3G,tigo.internet,1.86,8.23,10.09,8,6.83,120.0,2.25,22.21
CDR-D-2000080,2026-09-03 17:06:01,+25567993891,640026903558431,TZ-ARU-003,4G,tigo.internet,39.41,241.78,281.19,78,25.15,26.7,0.1,618.61
CDR-D-2000081,2026-09-01 19:27:07,+25565190181,640028358125511,TZ-DAR-003,5G,tigo.internet,211.93,1329.58,1541.51,61,232.01,23.3,0.08,3391.33
CDR-D-2000082,2026-09-03 21:35:44,+25577352673,640024647891535,TZ-MWA-001,5G,tigo.corporate,368.03,2261.62,2629.64,68,113.86,17.5,0.12,5785.22
CDR-D-2000083,2026-09-06 00:13:04,+25565856215,640022879792991,TZ-MOR-001,4G,tigo.internet,52.36,251.71,304.07,59,58.96,42.5,0.25,668.95
CDR-D-2000084,2026-09-03 12:13:19,+25571739244,640024275930923,TZ-DAR-001,5G,tigo.mms,92.3,756.08,848.37,4,185.24,20.2,0.08,1866.42
CDR-D-2000085,2026-09-03 23:34:37,+25571947787,640022231951978,TZ-SNG-001,3G,tigo.internet,7.23,23.07,30.3,58,4.45,127.0,1.77,66.66
CDR-D-2000086,2026-09-03 06:12:36,+25571528644,640024801044279,TZ-PEM-001,3G,tigo.corporate,5.02,23.34,28.36,25,5.4,118.1,1.36,62.38
CDR-D-2000087,2026-09-06 15:25:14,+25567894462,640024751511984,TZ-DAR-012,5G,tigo.internet,80.09,610.45,690.54,87,118.76,22.2,0.02,1519.19
CDR-D-2000088,2026-09-01 04:53:30,+25571487538,640027750678214,TZ-TAN-002,3G,tigo.internet,9.18,29.22,38.4,52,4.84,111.0,1.24,84.47
CDR-D-2000089,2026-09-02 16:29:23,+25565456717,640023605585995,TZ-DAR-009,4G,tigo.internet,107.73,501.33,609.06,21,34.15,26.9,0.11,1339.92
CDR-D-2000090,2026-09-07 23:07:00,+25565939030,640026651020291,TZ-DAR-006,4G,tigo.internet,162.82,727.54,890.35,76,19.82,30.8,0.18,1958.78
CDR-D-2000091,2026-09-02 22:26:43,+25565752483,640023294043548,TZ-GEI-001,4G,tigo.internet,109.21,391.76,500.97,30,59.07,52.4,0.25,1102.14
CDR-D-2000092,2026-09-03 15:52:02,+25571114800,640028188100401,TZ-TAN-002,3G,tigo.internet,26.91,76.72,103.63,19,6.13,91.9,1.19,227.98
CDR-D-2000093,2026-09-01 09:33:04,+25571189915,640021092196090,TZ-DAR-010,4G,tigo.corporate,115.44,445.21,560.65,38,19.07,53.2,0.1,1233.43
CDR-D-2000094,2026-09-07 00:59:40,+25565767542,640025464285982,TZ-ARU-001,5G,tigo.internet,69.18,320.77,389.96,8,154.46,16.0,0.01,857.91
CDR-D-2000095,2026-09-04 02:05:17,+25577624369,640021172893522,TZ-MAR-001,3G,tigo.internet,24.47,69.85,94.32,32,2.53,115.5,1.15,207.51
CDR-D-2000096,2026-09-06 18:23:38,+25571562976,640028573538960,TZ-MBY-002,4G,tigo.internet,214.32,934.28,1148.6,43,55.37,29.9,0.16,2526.93
CDR-D-2000097,2026-09-03 07:24:16,+25567591341,640024171685974,TZ-DAR-003,5G,tigo.internet,208.38,1046.21,1254.59,21,180.14,15.5,0.06,2760.11
CDR-D-2000098,2026-09-06 04:54:44,+25567967359,640025145057803,TZ-MWA-003,4G,tigo.internet,172.19,764.81,937.0,80,13.47,30.3,0.17,2061.41
CDR-D-2000099,2026-09-07 17:18:36,+25577578180,640029290622669,TZ-DAR-015,3G,tigo.mms,25.16,69.99,95.15,60,4.33,85.1,2.03,209.34
CDR-D-2000100,2026-09-01 17:17:17,+25565779068,640023253473926,TZ-DAR-009,4G,tigo.internet,151.29,929.43,1080.72,27,56.75,45.9,0.14,2377.58
CDR-D-2000101,2026-09-04 18:58:41,+25571343904,640029681045368,TZ-DAR-004,5G,tigo.pesa.app,306.06,2162.38,2468.44,12,81.03,19.5,0.04,0.0
CDR-D-2000102,2026-09-03 06:53:16,+25571879521,640029287521677,TZ-NJO-001,3G,tigo.pesa.app,2.89,10.44,13.33,12,5.94,138.4,2.37,0.0
CDR-D-2000103,2026-09-04 19:59:11,+25577388039,640023651030484,TZ-ZNZ-002,4G,tigo.internet,109.42,375.99,485.41,5,42.07,43.4,0.18,1067.9
CDR-D-2000104,2026-09-02 22:14:26,+25565909231,640022016263083,TZ-MBY-001,4G,tigo.internet,75.19,474.8,549.99,31,13.77,37.1,0.31,1209.97
CDR-D-2000105,2026-09-03 15:21:40,+25571880431,640024407284549,TZ-MAR-001,3G,tigo.pesa.app,18.75,56.75,75.5,47,7.23,99.9,2.33,0.0
CDR-D-2000106,2026-09-07 20:43:02,+25565302299,640028321459188,TZ-ZNZ-004,4G,tigo.internet,117.46,450.54,568.0,14,21.5,54.1,0.15,1249.6
CDR-D-2000107,2026-09-05 20:11:52,+25571823255,640025792280830,TZ-SON-001,3G,tigo.internet,11.52,32.16,43.68,74,5.69,116.8,2.28,96.11
CDR-D-2000108,2026-09-07 06:05:35,+25567300814,640024082968468,TZ-TAB-001,3G,tigo.internet,3.74,10.77,14.51,48,3.29,98.5,1.66,31.92
CDR-D-2000109,2026-09-06 21:08:16,+25571824424,640026810639622,TZ-GEI-001,4G,tigo.internet,143.86,640.79,784.65,69,63.73,48.4,0.44,1726.22
CDR-D-2000110,2026-09-01 20:31:22,+25577800005,640028995059760,TZ-BUK-001,3G,tigo.pesa.app,4.57,13.67,18.24,87,5.28,103.8,1.92,0.0
CDR-D-2000111,2026-09-04 18:59:14,+25577688760,640029848243913,TZ-MAR-001,3G,tigo.pesa.app,25.95,72.99,98.94,34,3.4,113.5,1.54,0.0
CDR-D-2000112,2026-09-07 10:55:11,+25565286717,640022826411454,TZ-TND-001,3G,tigo.internet,4.38,16.45,20.83,9,7.1,79.4,1.63,45.83
CDR-D-2000113,2026-09-02 02:20:31,+25567175576,640024187043237,TZ-DOM-003,4G,tigo.internet,27.18,102.24,129.42,34,42.24,47.4,0.21,284.72
CDR-D-2000114,2026-09-01 07:13:31,+25567364132,640021829270292,TZ-DAR-014,3G,tigo.internet,2.73,13.37,16.09,2,2.81,66.6,2.63,35.4
CDR-D-2000115,2026-09-01 08:16:22,+25565925148,640026798582529,TZ-SHI-001,3G,tigo.internet,7.24,21.33,28.56,19,2.49,134.2,1.39,62.84
CDR-D-2000116,2026-09-06 00:38:04,+25567189691,640025289839506,TZ-TND-001,3G,tigo.mms,25.55,83.67,109.23,9,4.91,139.9,0.64,240.3
CDR-D-2000117,2026-09-03 08:35:10,+25567764662,640029471942713,TZ-DAR-009,4G,tigo.corporate,71.99,294.48,366.47,84,31.84,51.1,0.33,806.24
CDR-D-2000118,2026-09-04 09:57:07,+25577429657,640028084809436,TZ-DOM-002,5G,tigo.internet,502.23,2165.92,2668.15,84,67.68,15.5,0.11,5869.94
CDR-D-2000119,2026-09-05 23:50:09,+25571823255,640025792280830,TZ-SON-001,3G,tigo.internet,15.94,53.56,69.5,49,3.67,96.3,0.96,152.91
CDR-D-2000120,2026-09-06 10:18:42,+25577854124,640028264535316,TZ-MBY-001,4G,tigo.internet,68.88,299.0,367.87,25,34.44,46.2,0.11,809.32
CDR-D-2000121,2026-09-01 05:50:29,+25571198042,640027035624331,TZ-BUK-001,3G,tigo.internet,2.82,13.57,16.39,33,2.05,134.4,1.14,36.05
CDR-D-2000122,2026-09-01 05:45:21,+25571260778,640026918142780,TZ-MBY-001,4G,tigo.internet,136.06,465.18,601.24,68,40.14,33.8,0.08,1322.73
CDR-D-2000123,2026-09-05 07:06:34,+25565909606,640024306720589,TZ-DAR-012,5G,tigo.mms,291.5,1324.91,1616.41,13,266.25,27.9,0.08,3556.1
CDR-D-2000124,2026-09-01 21:50:40,+25571182300,640028144352013,TZ-ARU-001,5G,tigo.internet,114.21,831.59,945.81,31,266.86,16.5,0.09,2080.78
CDR-D-2000125,2026-09-06 12:11:29,+25565568436,640028532327465,TZ-SON-001,3G,tigo.internet,22.08,68.79,90.88,21,3.76,121.9,0.71,199.93
CDR-D-2000126,2026-09-03 00:11:07,+25567647860,640029115534388,TZ-ZNZ-001,5G,tigo.internet,76.09,311.89,387.98,30,104.01,17.6,0.09,853.56
CDR-D-2000127,2026-09-01 12:18:58,+25577481242,640026730698191,TZ-KIL-001,4G,tigo.internet,23.83,122.15,145.98,72,29.97,29.4,0.07,321.15
CDR-D-2000128,2026-09-02 09:57:01,+25571487538,640027750678214,TZ-TAN-002,3G,tigo.internet,8.5,22.44,30.94,82,5.0,101.6,0.86,68.07
CDR-D-2000129,2026-09-02 08:22:55,+25571592879,640024210581718,TZ-DAR-003,5G,tigo.internet,396.83,1710.81,2107.64,64,207.95,13.6,0.13,4636.81
CDR-D-2000130,2026-09-01 10:18:01,+25571114800,640028188100401,TZ-TAN-002,3G,tigo.internet,17.49,55.2,72.7,41,4.36,129.6,1.9,159.93
CDR-D-2000131,2026-09-05 10:53:55,+25577900117,640024875855229,TZ-TAN-003,3G,tigo.internet,5.89,22.41,28.3,2,6.71,129.5,1.61,62.27
CDR-D-2000132,2026-09-02 15:58:37,+25567675092,640029319042718,TZ-DAR-007,4G,tigo.pesa.app,96.76,636.08,732.83,66,17.63,49.1,0.39,0.0
CDR-D-2000133,2026-09-02 21:24:41,+25565901351,640029785727315,TZ-SON-001,3G,tigo.internet,17.93,54.69,72.62,67,1.45,115.7,2.43,159.76
CDR-D-2000134,2026-09-01 18:19:01,+25577474880,640028136453451,TZ-MWA-002,4G,tigo.internet,166.98,741.5,908.48,54,17.83,33.4,0.26,1998.65
CDR-D-2000135,2026-09-04 06:17:38,+25567983788,640024731897202,TZ-TAB-001,3G,tigo.internet,7.32,25.85,33.17,41,5.35,116.4,2.17,72.97
CDR-D-2000136,2026-09-05 08:18:55,+25565855797,640026070264390,TZ-KIL-001,4G,tigo.corporate,105.97,463.22,569.2,86,55.16,41.4,0.08,1252.24
CDR-D-2000137,2026-09-01 19:57:03,+25565610102,640025073704803,TZ-ZNZ-004,4G,tigo.internet,79.56,374.66,454.22,40,16.51,43.1,0.35,999.29
CDR-D-2000138,2026-09-04 20:57:18,+25577308050,640023624656441,TZ-KIL-003,3G,tigo.internet,12.6,38.53,51.12,30,6.12,73.3,2.55,112.47
CDR-D-2000139,2026-09-04 00:07:30,+25577665148,640024148407142,TZ-DAR-013,5G,tigo.internet,353.9,2369.95,2723.85,14,206.19,22.8,0.06,5992.47
CDR-D-2000140,2026-09-05 18:04:11,+25565313701,640028517718126,TZ-TND-001,3G,tigo.internet,12.41,52.27,64.69,12,3.7,110.7,1.42,142.31
CDR-D-2000141,2026-09-07 16:49:17,+25571771652,640023645901955,TZ-DAR-010,4G,tigo.internet,37.71,128.94,166.65,33,31.88,27.0,0.45,366.62
CDR-D-2000142,2026-09-06 07:14:17,+25577944013,640027045485090,TZ-MWA-002,4G,tigo.internet,19.38,77.21,96.58,59,26.4,32.9,0.22,212.49
CDR-D-2000143,2026-09-07 23:06:51,+25565144832,640024198865421,TZ-DAR-008,4G,tigo.pesa.app,143.81,944.71,1088.52,86,64.89,51.3,0.43,0.0
CDR-D-2000144,2026-09-04 09:15:52,+25577308865,640022141178010,TZ-DAR-008,4G,tigo.internet,93.88,568.15,662.02,15,23.76,43.5,0.42,1456.45
CDR-D-2000145,2026-09-05 22:03:24,+25567418801,640026649334064,TZ-MWA-002,4G,tigo.internet,193.66,685.42,879.09,66,22.76,43.2,0.24,1933.99
CDR-D-2000146,2026-09-03 13:58:52,+25565361662,640023977168607,TZ-MWA-001,5G,tigo.internet,585.7,2905.6,3491.31,86,54.72,24.5,0.05,7680.88
CDR-D-2000147,2026-09-01 13:09:26,+25577765607,640027851463947,TZ-MWA-003,4G,tigo.corporate,110.26,434.23,544.48,12,31.23,33.7,0.26,1197.87
CDR-D-2000148,2026-09-07 10:38:51,+25577319401,640024123723470,TZ-IRI-001,4G,tigo.pesa.app,109.44,405.49,514.94,81,20.62,40.4,0.22,0.0
CDR-D-2000149,2026-09-04 06:47:02,+25567280079,640028684846286,TZ-ARU-003,4G,tigo.internet,230.17,890.81,1120.98,89,40.17,52.4,0.42,2466.15
CDR-D-2000150,2026-09-02 04:59:01,+25567626781,640025825241186,TZ-MTW-001,4G,tigo.corporate,203.42,866.48,1069.91,51,38.57,40.2,0.34,2353.8
CDR-D-2000151,2026-09-05 08:57:05,+25571357232,640027329335818,TZ-KIL-001,4G,tigo.internet,38.53,224.19,262.72,68,45.8,53.0,0.33,577.98
CDR-D-2000152,2026-09-05 14:26:18,+25565215507,640026795403548,TZ-MWA-001,5G,tigo.internet,584.25,3121.1,3705.35,22,94.72,15.5,0.14,8151.76
CDR-D-2000153,2026-09-01 13:28:47,+25567509758,640024897716760,TZ-DAR-011,4G,tigo.internet,220.16,902.09,1122.25,62,15.38,27.4,0.4,2468.94
CDR-D-2000154,2026-09-04 22:21:52,+25571917326,640025592466298,TZ-DAR-015,3G,tigo.pesa.app,14.6,47.83,62.43,15,2.47,78.2,2.68,0.0
CDR-D-2000155,2026-09-01 06:34:00,+25565187496,640025036616886,TZ-IRI-001,4G,tigo.corporate,137.06,760.76,897.83,49,61.06,45.7,0.42,1975.22
CDR-D-2000156,2026-09-04 12:38:59,+25577350164,640023666637135,TZ-MWA-002,4G,tigo.pesa.app,66.48,234.55,301.03,6,12.77,30.1,0.21,0.0
CDR-D-2000157,2026-09-05 18:12:20,+25571704430,640028150791910,TZ-SNG-001,3G,tigo.internet,16.89,58.9,75.79,87,5.58,71.1,2.06,166.74
CDR-D-2000158,2026-09-04 13:04:12,+25567142961,640029122284596,TZ-MOR-001,4G,tigo.corporate,247.54,834.5,1082.04,75,51.13,25.6,0.25,2380.49
