cdr_id,timestamp,calling_msisdn,called_msisdn,call_direction,call_type,duration_sec,termination_cause,call_status,cell_id,interconnect_operator,retail_revenue_tzs,settlement_mtr_tzs,erlang_fraction,is_dropped,is_simbox_flag,is_wangiri_flag
CDR-V-1000028,2026-09-01 01:09:08,+25571525167,+25571869987,MO (Mobile Originated),VoLTE,127,NORMAL_CLEARING,ANSWERED,TZ-PWA-001,TIGO_ON_NET,90.0,0.0,0.035278,0,0,0
CDR-V-1000029,2026-09-01 01:59:45,+25565917380,+25565321534,MT (Mobile Terminated),VoLTE,255,NORMAL_CLEARING,ANSWERED,TZ-ARU-001,TIGO_ON_NET,150.0,0.0,0.070833,0,0,0
CDR-V-1000030,2026-09-01 01:11:32,+25577112581,+25561105302,MO (Mobile Originated),VoLTE,348,NORMAL_CLEARING,ANSWERED,TZ-DOM-003,HALOTEL,270.0,93.6,0.096667,0,0,0
CDR-V-1000031,2026-09-01 01:58:52,+25571992744,+25574194465,MO (Mobile Originated),2G_CS,292,NORMAL_CLEARING,ANSWERED,TZ-ARU-002,VODACOM,225.0,78.0,0.081111,0,0,0
CDR-V-1000032,2026-09-01 01:59:59,+25577164329,+25567689780,MT (Mobile Terminated),VoLTE,309,NORMAL_CLEARING,ANSWERED,TZ-MWA-001,TIGO_ON_NET,180.0,0.0,0.085833,0,0,0
CDR-V-1000033,2026-09-01 01:23:00,+25577648830,+25571430284,MO (Mobile Originated),2G_CS,37,NORMAL_CLEARING,ANSWERED,TZ-ARU-001,TIGO_ON_NET,30.0,0.0,0.010278,0,0,0
CDR-V-1000034,2026-09-01 01:47:23,+25565137609,+25574145980,MT (Mobile Terminated),2G_CS,235,NORMAL_CLEARING,ANSWERED,TZ-TAN-001,VODACOM,180.0,62.4,0.065278,0,0,0
CDR-V-1000035,2026-09-01 01:37:20,+25565717024,+25571628671,MO (Mobile Originated),3G_CS,182,NORMAL_CLEARING,ANSWERED,TZ-DAR-005,TIGO_ON_NET,120.0,0.0,0.050556,0,0,0
CDR-V-1000036,2026-09-01 01:44:18,+25565262383,+25575533276,MT (Mobile Terminated),VoLTE,0,NO_ANSWER_TIMEOUT,NO_ANSWER,TZ-DOM-003,VODACOM,0.0,0.0,0.0,0,0,0
CDR-V-1000037,2026-09-01 01:26:22,+25577144284,+25571533501,MT (Mobile Terminated),VoLTE,111,UPLINK_INTERFERENCE,DROPPED,TZ-TAN-003,TIGO_ON_NET,60.0,0.0,0.030833,1,0,0
CDR-V-1000038,2026-09-01 01:32:59,+25565927050,+25571323574,MT (Mobile Terminated),VoLTE,185,NORMAL_CLEARING,ANSWERED,TZ-NJO-001,TIGO_ON_NET,120.0,0.0,0.051389,0,0,0
CDR-V-1000039,2026-09-01 01:02:09,+25577260101,+25565172058,MO (Mobile Originated),3G_CS,199,NORMAL_CLEARING,ANSWERED,TZ-DAR-010,TIGO_ON_NET,120.0,0.0,0.055278,0,0,0
CDR-V-1000040,2026-09-01 01:28:16,+25565740195,+25561655682,MT (Mobile Terminated),2G_CS,0,NO_ANSWER_TIMEOUT,NO_ANSWER,TZ-TAN-003,HALOTEL,0.0,0.0,0.0,0,0,0
CDR-V-1000041,2026-09-01 01:34:27,+25567140115,+25565716862,MO (Mobile Originated),CS_VOICE,2,CALLER_ABANDON,NO_ANSWER_FLASH,TZ-DOM-002,FRAUD_PREMIUM,0.0,0.0,0.000556,0,0,1
CDR-V-1000042,2026-09-01 01:14:45,+25571792244,+25567285468,MO (Mobile Originated),VoLTE,337,NORMAL_CLEARING,ANSWERED,TZ-ZNZ-002,TIGO_ON_NET,180.0,0.0,0.093611,0,0,0
CDR-V-1000043,2026-09-01 02:25:58,+25571950360,+25577390141,MT (Mobile Terminated),VoLTE,244,NORMAL_CLEARING,ANSWERED,TZ-MBY-001,TIGO_ON_NET,150.0,0.0,0.067778,0,0,0
CDR-V-1000044,2026-09-01 02:39:21,+25571284267,+25565864607,MO (Mobile Originated),VoLTE,291,NORMAL_CLEARING,ANSWERED,TZ-TAN-001,TIGO_ON_NET,150.0,0.0,0.080833,0,0,0
CDR-V-1000045,2026-09-01 02:59:21,+25577319401,+25567866110,MT (Mobile Terminated),VoLTE,0,NO_ANSWER_TIMEOUT,NO_ANSWER,TZ-IRI-001,TIGO_ON_NET,0.0,0.0,0.0,0,0,0
CDR-V-1000046,2026-09-01 02:06:05,+25565500984,+25573730222,MO (Mobile Originated),VoLTE,166,NORMAL_CLEARING,ANSWERED,TZ-DOM-003,TTCL,135.0,46.8,0.046111,0,0,0
CDR-V-1000047,2026-09-01 02:45:28,+25577769989,+25571525850,MO (Mobile Originated),3G_CS,0,NO_ANSWER_TIMEOUT,NO_ANSWER,TZ-PWA-001,TIGO_ON_NET,0.0,0.0,0.0,0,0,0
CDR-V-1000048,2026-09-01 02:20:52,+25565615353,+25565100681,MO (Mobile Originated),VoLTE,175,NORMAL_CLEARING,ANSWERED,TZ-TND-001,TIGO_ON_NET,90.0,0.0,0.048611,0,0,0
CDR-V-1000049,2026-09-01 02:50:50,+25565563348,+25565537970,MO (Mobile Originated),VoLTE,71,NORMAL_CLEARING,ANSWERED,TZ-DAR-001,TIGO_ON_NET,60.0,0.0,0.019722,0,0,0
CDR-V-1000050,2026-09-01 02:21:13,+25577756912,+25567561535,MO (Mobile Originated),3G_CS,159,NORMAL_CLEARING,ANSWERED,TZ-SHI-001,TIGO_ON_NET,90.0,0.0,0.044167,0,0,0
CDR-V-1000051,2026-09-01 02:02:53,+25567189691,+25569723861,MO (Mobile Originated),VoLTE,0,NO_ANSWER_TIMEOUT,NO_ANSWER,TZ-TND-001,AIRTEL,0.0,0.0,0.0,0,0,0
CDR-V-1000052,2026-09-01 02:45:47,+25565420012,+25562150483,MO (Mobile Originated),2G_CS,333,NORMAL_CLEARING,ANSWERED,TZ-DAR-006,HALOTEL,270.0,93.6,0.0925,0,0,0
CDR-V-1000053,2026-09-01 02:13:19,+25577181247,+25562103150,MT (Mobile Terminated),3G_CS,31,NORMAL_CLEARING,ANSWERED,TZ-DAR-015,HALOTEL,45.0,15.6,0.008611,0,0,0
CDR-V-1000054,2026-09-01 02:56:13,+25577479798,+25472080611,MO (Mobile Originated),3G_CS,63,NORMAL_CLEARING,ANSWERED,TZ-MWA-001,INTL_KENYA,500.0,240.0,0.0175,0,0,0
CDR-V-1000055,2026-09-01 02:14:41,+25565107800,+25567462920,MO (Mobile Originated),VoLTE,0,NO_ANSWER_TIMEOUT,NO_ANSWER,TZ-TAB-001,TIGO_ON_NET,0.0,0.0,0.0,0,0,0
CDR-V-1000056,2026-09-01 02:43:36,+25565910389,+25571527354,MT (Mobile Terminated),VoLTE,218,NORMAL_CLEARING,ANSWERED,TZ-DOM-003,TIGO_ON_NET,120.0,0.0,0.060556,0,0,0
CDR-V-1000057,2026-09-01 02:36:27,+25565521769,+25577600695,MT (Mobile Terminated),VoLTE,0,USER_BUSY,BUSY,TZ-KIL-002,TIGO_ON_NET,0.0,0.0,0.0,0,0,0
CDR-V-1000058,2026-09-01 02:57:15,+25567388660,+25576328384,MT (Mobile Terminated),VoLTE,162,NORMAL_CLEARING,ANSWERED,TZ-SHI-001,VODACOM,135.0,46.8,0.045,0,0,0
CDR-V-1000059,2026-09-01 02:19:37,+25567349825,+25577614616,MO (Mobile Originated),2G_CS,0,USER_BUSY,BUSY,TZ-TAB-001,TIGO_ON_NET,0.0,0.0,0.0,0,0,0
CDR-V-1000060,2026-09-01 02:54:10,+25565799330,+25574176418,MT (Mobile Terminated),VoLTE,0,TRUNK_CIRCUIT_CONGESTION,CONGESTION_BLOCKED,TZ-MTW-001,VODACOM,0.0,0.0,0.0,0,0,0
CDR-V-1000061,2026-09-01 02:20:16,+25577860939,+25567292697,MT (Mobile Terminated),VoLTE,353,NORMAL_CLEARING,ANSWERED,TZ-SNG-001,TIGO_ON_NET,180.0,0.0,0.098056,0,0,0
CDR-V-1000062,2026-09-01 03:14:50,+25565133616,+25571699070,MO (Mobile Originated),2G_CS,0,NO_ANSWER_TIMEOUT,NO_ANSWER,TZ-DAR-015,TIGO_ON_NET,0.0,0.0,0.0,0,0,0
CDR-V-1000063,2026-09-01 03:02:22,+25571223602,+25577635231,MO (Mobile Originated),VoLTE,74,NORMAL_CLEARING,ANSWERED,TZ-KAH-001,TIGO_ON_NET,60.0,0.0,0.020556,0,0,0
CDR-V-1000064,2026-09-01 03:05:24,+25567676051,+25574395268,MO (Mobile Originated),3G_CS,68,HANDOVER_FAILURE,DROPPED,TZ-ARU-002,VODACOM,90.0,31.2,0.018889,1,0,0
CDR-V-1000065,2026-09-01 03:48:56,+25571110113,+25567998849,MO (Mobile Originated),VoLTE,318,NORMAL_CLEARING,ANSWERED,TZ-GEI-001,TIGO_ON_NET,180.0,0.0,0.088333,0,0,0
CDR-V-1000066,2026-09-01 03:47:37,+25567815234,+25565539437,MT (Mobile Terminated),VoLTE,0,USER_BUSY,BUSY,TZ-DAR-014,TIGO_ON_NET,0.0,0.0,0.0,0,0,0
CDR-V-1000067,2026-09-01 03:56:44,+25577788159,+25567584383,MT (Mobile Terminated),VoLTE,0,USER_BUSY,BUSY,TZ-ZNZ-001,TIGO_ON_NET,0.0,0.0,0.0,0,0,0
CDR-V-1000068,2026-09-01 03:08:00,+25565257880,+25565336610,MT (Mobile Terminated),VoLTE,235,NORMAL_CLEARING,ANSWERED,TZ-ARU-002,TIGO_ON_NET,120.0,0.0,0.065278,0,0,0
CDR-V-1000069,2026-09-01 03:44:10,+25567762201,+25567649907,MO (Mobile Originated),VoLTE,265,NORMAL_CLEARING,ANSWERED,TZ-PWA-001,TIGO_ON_NET,150.0,0.0,0.073611,0,0,0
CDR-V-1000070,2026-09-01 03:46:00,+25567988954,+25571627573,MT (Mobile Terminated),VoLTE,185,NORMAL_CLEARING,ANSWERED,TZ-SHI-001,TIGO_ON_NET,120.0,0.0,0.051389,0,0,0
CDR-V-1000071,2026-09-01 03:35:35,+25567509758,+25575823797,MO (Mobile Originated),VoLTE,0,USER_BUSY,BUSY,TZ-DAR-011,VODACOM,0.0,0.0,0.0,0,0,0
CDR-V-1000072,2026-09-01 03:06:24,+25571355135,+25569347813,MO (Mobile Originated),VoLTE,207,NORMAL_CLEARING,ANSWERED,TZ-MBY-002,AIRTEL,180.0,62.4,0.0575,0,0,0
CDR-V-1000073,2026-09-01 03:38:09,+25571543234,+25567447811,MO (Mobile Originated),VoLTE,278,NORMAL_CLEARING,ANSWERED,TZ-ZNZ-002,TIGO_ON_NET,150.0,0.0,0.077222,0,0,0
CDR-V-1000074,2026-09-01 03:08:10,+25565589943,+25565744918,MT (Mobile Terminated),VoLTE,132,NORMAL_CLEARING,ANSWERED,TZ-DAR-007,TIGO_ON_NET,90.0,0.0,0.036667,0,0,0
CDR-V-1000075,2026-09-01 03:08:42,+25577429657,+25577392302,MT (Mobile Terminated),VoLTE,0,USER_BUSY,BUSY,TZ-DOM-002,TIGO_ON_NET,0.0,0.0,0.0,0,0,0
CDR-V-1000076,2026-09-01 04:04:26,+25571890110,+25576110703,MO (Mobile Originated),VoLTE,0,USER_BUSY,BUSY,TZ-ARU-001,VODACOM,0.0,0.0,0.0,0,0,0
CDR-V-1000077,2026-09-01 04:47:00,+25571314915,+25565329656,MT (Mobile Terminated),VoLTE,0,USER_BUSY,BUSY,TZ-DAR-014,TIGO_ON_NET,0.0,0.0,0.0,0,0,0
CDR-V-1000078,2026-09-01 04:31:22,+25571408857,+25567852722,MO (Mobile Originated),VoLTE,0,NO_ANSWER_TIMEOUT,NO_ANSWER,TZ-DAR-008,TIGO_ON_NET,0.0,0.0,0.0,0,0,0
CDR-V-1000079,2026-09-01 04:48:08,+25577285225,+25567515102,MT (Mobile Terminated),VoLTE,0,USER_BUSY,BUSY,TZ-DAR-008,TIGO_ON_NET,0.0,0.0,0.0,0,0,0
CDR-V-1000080,2026-09-01 04:52:03,+25571268187,+25569581924,MT (Mobile Terminated),2G_CS,0,NO_ANSWER_TIMEOUT,NO_ANSWER,TZ-PWA-001,AIRTEL,0.0,0.0,0.0,0,0,0
CDR-V-1000081,2026-09-01 04:06:39,+25577321659,+25576269763,MO (Mobile Originated),VoLTE,52,NORMAL_CLEARING,ANSWERED,TZ-TAR-001,VODACOM,45.0,15.6,0.014444,0,0,0
CDR-V-1000082,2026-09-01 04:30:19,+25567762201,+25573225128,MT (Mobile Terminated),VoLTE,292,NORMAL_CLEARING,ANSWERED,TZ-PWA-001,TTCL,225.0,78.0,0.081111,0,0,0
CDR-V-1000083,2026-09-01 04:52:17,+25565158579,+25571940390,MT (Mobile Terminated),VoLTE,22,NORMAL_CLEARING,ANSWERED,TZ-KIL-001,TIGO_ON_NET,30.0,0.0,0.006111,0,0,0
CDR-V-1000084,2026-09-01 04:32:03,+25565152427,+25477597744,MO (Mobile Originated),VoLTE,216,NORMAL_CLEARING,ANSWERED,TZ-BUK-001,INTL_KENYA,1000.0,480.0,0.06,0,0,0
CDR-V-1000085,2026-09-01 04:59:09,+25577116929,+25571417924,MO (Mobile Originated),3G_CS,0,USER_BUSY,BUSY,TZ-MWA-002,TIGO_ON_NET,0.0,0.0,0.0,0,0,0
CDR-V-1000086,2026-09-01 04:50:16,+25565714867,+25565818125,MT (Mobile Terminated),VoLTE,0,USER_BUSY,BUSY,TZ-DAR-010,TIGO_ON_NET,0.0,0.0,0.0,0,0,0
CDR-V-1000087,2026-09-01 04:36:26,+25565210338,+25577298991,MO (Mobile Originated),VoLTE,237,NORMAL_CLEARING,ANSWERED,TZ-DAR-006,TIGO_ON_NET,120.0,0.0,0.065833,0,0,0
CDR-V-1000088,2026-09-01 04:56:53,+25567346120,+25577797790,MO (Mobile Originated),3G_CS,81,UPLINK_INTERFERENCE,DROPPED,TZ-MTW-001,TIGO_ON_NET,60.0,0.0,0.0225,1,0,0
CDR-V-1000089,2026-09-01 05:17:43,+25567749466,+25571659730,MO (Mobile Originated),2G_CS,86,UPLINK_INTERFERENCE,DROPPED,TZ-ARU-001,TIGO_ON_NET,60.0,0.0,0.023889,1,0,0
CDR-V-1000090,2026-09-01 05:39:06,+25565187496,+25567960525,MT (Mobile Terminated),VoLTE,307,NORMAL_CLEARING,ANSWERED,TZ-IRI-001,TIGO_ON_NET,180.0,0.0,0.085278,0,0,0
CDR-V-1000091,2026-09-01 05:43:24,+25565313701,+25568855148,MO (Mobile Originated),2G_CS,33,HANDOVER_FAILURE,DROPPED,TZ-TND-001,AIRTEL,45.0,15.6,0.009167,1,0,0
CDR-V-1000092,2026-09-01 05:42:03,+25571139673,+25565954837,MT (Mobile Terminated),VoLTE,202,NORMAL_CLEARING,ANSWERED,TZ-PEM-001,TIGO_ON_NET,120.0,0.0,0.056111,0,0,0
CDR-V-1000093,2026-09-01 05:54:42,+25571248725,+25677204129,MT (Mobile Terminated),2G_CS,0,NO_ANSWER_TIMEOUT,NO_ANSWER,TZ-KIL-003,INTL_UGANDA,0.0,0.0,0.0,0,0,0
CDR-V-1000094,2026-09-01 05:36:43,+25565133616,+25567856805,MO (Mobile Originated),3G_CS,56,RADIO_LINK_FAILURE,DROPPED,TZ-DAR-015,TIGO_ON_NET,30.0,0.0,0.015556,1,0,0
CDR-V-1000095,2026-09-01 05:27:23,+25567274721,+25561946088,MT (Mobile Terminated),2G_CS,158,NORMAL_CLEARING,ANSWERED,TZ-KAH-001,HALOTEL,135.0,46.8,0.043889,0,0,0
CDR-V-1000096,2026-09-01 05:08:05,+25571618951,+25571700505,MT (Mobile Terminated),3G_CS,189,NORMAL_CLEARING,ANSWERED,TZ-DAR-010,TIGO_ON_NET,120.0,0.0,0.0525,0,0,0
CDR-V-1000097,2026-09-01 05:11:48,+25567268163,+25561516363,MT (Mobile Terminated),2G_CS,137,NORMAL_CLEARING,ANSWERED,TZ-DAR-008,HALOTEL,135.0,46.8,0.038056,0,0,0
CDR-V-1000098,2026-09-01 05:00:29,+25565543410,+25571378601,MT (Mobile Terminated),2G_CS,161,NORMAL_CLEARING,ANSWERED,TZ-SNG-001,TIGO_ON_NET,90.0,0.0,0.044722,0,0,0
CDR-V-1000099,2026-09-01 05:03:42,+25577199937,+25565535637,MO (Mobile Originated),VoLTE,177,NORMAL_CLEARING,ANSWERED,TZ-DAR-007,TIGO_ON_NET,90.0,0.0,0.049167,0,0,0
CDR-V-1000100,2026-09-01 05:56:19,+25577762423,+25577336983,MO (Mobile Originated),VoLTE,345,NORMAL_CLEARING,ANSWERED,TZ-ARU-001,TIGO_ON_NET,180.0,0.0,0.095833,0,0,0
CDR-V-1000101,2026-09-01 05:43:46,+25577757724,+25562226088,MO (Mobile Originated),3G_CS,0,USER_BUSY,BUSY,TZ-ARU-003,HALOTEL,0.0,0.0,0.0,0,0,0
CDR-V-1000102,2026-09-01 05:28:05,+25571742321,+25567955266,MT (Mobile Terminated),3G_CS,0,USER_BUSY,BUSY,TZ-MWA-002,TIGO_ON_NET,0.0,0.0,0.0,0,0,0
CDR-V-1000103,2026-09-01 05:11:27,+25567701975,+25577150970,MO (Mobile Originated),2G_CS,98,NORMAL_CLEARING,ANSWERED,TZ-KIG-001,TIGO_ON_NET,60.0,0.0,0.027222,0,0,0
CDR-V-1000104,2026-09-01 05:55:41,+25577286540,+25567878013,MT (Mobile Terminated),VoLTE,242,NORMAL_CLEARING,ANSWERED,TZ-DAR-015,TIGO_ON_NET,150.0,0.0,0.067222,0,0,0
CDR-V-1000105,2026-09-01 05:29:28,+25571586501,+25565304450,MT (Mobile Terminated),VoLTE,46,NORMAL_CLEARING,ANSWERED,TZ-DAR-003,TIGO_ON_NET,30.0,0.0,0.012778,0,0,0
CDR-V-1000106,2026-09-01 05:41:52,+25565254127,+25569663095,MO (Mobile Originated),VoLTE,0,NO_ANSWER_TIMEOUT,NO_ANSWER,TZ-TND-001,AIRTEL,0.0,0.0,0.0,0,0,0
CDR-V-1000107,2026-09-01 05:23:20,+25577752442,+25565607348,MO (Mobile Originated),VoLTE,0,USER_BUSY,BUSY,TZ-DAR-002,TIGO_ON_NET,0.0,0.0,0.0,0,0,0
CDR-V-1000108,2026-09-01 05:04:19,+25567250755,+25573546087,MO (Mobile Originated),3G_CS,308,NORMAL_CLEARING,ANSWERED,TZ-DAR-006,TTCL,270.0,93.6,0.085556,0,0,0
CDR-V-1000109,2026-09-01 06:50:07,+25567283514,+25571618391,MO (Mobile Originated),VoLTE,116,NORMAL_CLEARING,ANSWERED,TZ-SHI-001,TIGO_ON_NET,60.0,0.0,0.032222,0,0,0
CDR-V-1000110,2026-09-01 06:24:39,+25577217957,+25568855861,MT (Mobile Terminated),VoLTE,338,NORMAL_CLEARING,ANSWERED,TZ-MTW-001,AIRTEL,270.0,93.6,0.093889,0,0,0
CDR-V-1000111,2026-09-01 06:54:31,+25565104383,+25567967431,MT (Mobile Terminated),VoLTE,0,NO_ANSWER_TIMEOUT,NO_ANSWER,TZ-BUK-001,TIGO_ON_NET,0.0,0.0,0.0,0,0,0
CDR-V-1000112,2026-09-01 06:09:10,+25565143884,+25565647579,MO (Mobile Originated),VoLTE,201,NORMAL_CLEARING,ANSWERED,TZ-PWA-001,TIGO_ON_NET,120.0,0.0,0.055833,0,0,0
CDR-V-1000113,2026-09-01 06:54:30,+25577292259,+25565543785,MO (Mobile Originated),VoLTE,32,NORMAL_CLEARING,ANSWERED,TZ-GEI-001,TIGO_ON_NET,30.0,0.0,0.008889,0,0,0
CDR-V-1000114,2026-09-01 06:30:25,+25571424620,+25565507990,MO (Mobile Originated),2G_CS,0,USER_BUSY,BUSY,TZ-NJO-001,TIGO_ON_NET,0.0,0.0,0.0,0,0,0
CDR-V-1000115,2026-09-01 06:07:48,+25571702891,+25571203463,MO (Mobile Originated),2G_CS,217,NORMAL_CLEARING,ANSWERED,TZ-KIL-002,TIGO_ON_NET,120.0,0.0,0.060278,0,0,0
CDR-V-1000116,2026-09-01 06:06:22,+25577116730,+25472503919,MT (Mobile Terminated),2G_CS,0,NO_ANSWER_TIMEOUT,NO_ANSWER,TZ-DAR-002,INTL_KENYA,0.0,0.0,0.0,0,0,0
CDR-V-1000117,2026-09-01 06:48:16,+25567709291,+25567564116,MO (Mobile Originated),3G_CS,122,NORMAL_CLEARING,ANSWERED,TZ-SNG-001,TIGO_ON_NET,90.0,0.0,0.033889,0,0,0
CDR-V-1000118,2026-09-01 06:13:44,+25567541315,+25562765573,MO (Mobile Originated),3G_CS,93,NORMAL_CLEARING,ANSWERED,TZ-MAR-001,HALOTEL,90.0,31.2,0.025833,0,0,0
CDR-V-1000119,2026-09-01 06:22:35,+25567435581,+25578762003,MT (Mobile Terminated),VoLTE,0,USER_BUSY,BUSY,TZ-TAN-002,AIRTEL,0.0,0.0,0.0,0,0,0
CDR-V-1000120,2026-09-01 06:22:25,+25577756912,+25575321316,MO (Mobile Originated),VoLTE,0,NO_ANSWER_TIMEOUT,NO_ANSWER,TZ-SHI-001,VODACOM,0.0,0.0,0.0,0,0,0
CDR-V-1000121,2026-09-01 06:15:53,+25571272620,+25568996620,MO (Mobile Originated),VoLTE,154,NORMAL_CLEARING,ANSWERED,TZ-ZNZ-002,AIRTEL,135.0,46.8,0.042778,0,0,0
CDR-V-1000122,2026-09-01 06:25:43,+25567620566,+25577801499,MT (Mobile Terminated),VoLTE,0,NO_ANSWER_TIMEOUT,NO_ANSWER,TZ-ZNZ-003,TIGO_ON_NET,0.0,0.0,0.0,0,0,0
